#k-distance eigenvalue[eV]
0.00000000 -47.33570000
0.03779283 -47.33900000
0.07558567 -47.34260000
0.11337850 -47.34640000
0.15117132 -47.35040000
0.18896417 -47.35460000
0.22675699 -47.35880000
0.26454982 -47.36320000
0.30234266 -47.36760000
0.34013549 -47.37200000
0.37792832 -47.37640000
0.41572116 -47.38070000
0.45351399 -47.38490000
0.49130681 -47.38890000
0.52909966 -47.39280000
0.56689248 -47.39640000
0.60468531 -47.39980000
0.64247815 -47.40280000
0.68027098 -47.40550000
0.71806381 -47.40790000
0.75585665 -47.40980000
0.79364948 -47.41140000
0.83144230 -47.41250000
0.86923515 -47.41310000
0.90702797 -47.41340000
0.90702797 -47.41340000
0.93314841 -47.41330000
0.95926885 -47.41290000
0.98538929 -47.41240000
1.01150972 -47.41170000
1.03763017 -47.41080000
1.06375060 -47.40960000
1.08987104 -47.40830000
1.11599148 -47.40680000
1.14211192 -47.40510000
1.16823235 -47.40320000
1.19435280 -47.40120000
1.22047323 -47.39900000
1.24659367 -47.39670000
1.27271411 -47.39420000
1.29883455 -47.39160000
1.32495498 -47.38880000
1.35107543 -47.38600000
1.37719586 -47.38310000
1.40331630 -47.38010000
1.42943674 -47.37700000
1.45555718 -47.37380000
1.48167761 -47.37070000
1.50779806 -47.36740000
1.53391849 -47.36420000
1.53391849 -47.36420000
1.57171132 -47.36410000
1.60950416 -47.36370000
1.64729699 -47.36310000
1.68508981 -47.36230000
1.72288266 -47.36130000
1.76067548 -47.36000000
1.79846831 -47.35860000
1.83626115 -47.35710000
1.87405398 -47.35540000
1.91184681 -47.35360000
1.94963965 -47.35180000
1.98743248 -47.34990000
2.02522530 -47.34800000
2.06301815 -47.34620000
2.10081097 -47.34440000
2.13860380 -47.34270000
2.17639664 -47.34110000
2.21418947 -47.33970000
2.25198230 -47.33850000
2.28977514 -47.33740000
2.32756797 -47.33660000
2.36536079 -47.33600000
2.40315364 -47.33560000
2.44094646 -47.33550000
2.44094646 -47.33550000
2.47873929 -47.33540000
2.51653213 -47.33500000
2.55432496 -47.33440000
2.59211779 -47.33360000
2.62991063 -47.33260000
2.66770346 -47.33140000
2.70549628 -47.33000000
2.74328913 -47.32850000
2.78108195 -47.32680000
2.81887478 -47.32510000
2.85666762 -47.32330000
2.89446045 -47.32150000
2.93225328 -47.31960000
2.97004612 -47.31780000
3.00783895 -47.31610000
3.04563177 -47.31440000
3.08342462 -47.31290000
3.12121744 -47.31150000
3.15901027 -47.31020000
3.19680311 -47.30920000
3.23459594 -47.30840000
3.27238877 -47.30780000
3.31018161 -47.30740000
3.34797444 -47.30730000
3.34797444 -47.30730000
3.40142156 -47.30760000
3.45486872 -47.30830000
3.50831584 -47.30950000
3.56176297 -47.31110000
3.61521012 -47.31320000
3.66865725 -47.31560000
3.72210438 -47.31840000
3.77555153 -47.32150000
3.82899866 -47.32480000
3.88244579 -47.32840000
3.93589294 -47.33200000
3.98934007 -47.33570000
4.04278719 -47.33940000
4.09623435 -47.34310000
4.14968147 -47.34660000
4.20312860 -47.35000000
4.25657575 -47.35300000
4.31002288 -47.35590000
4.36347001 -47.35830000
4.41691716 -47.36040000
4.47036429 -47.36200000
4.52381142 -47.36320000
4.57725857 -47.36400000
4.63070570 -47.36420000

0.00000000 -47.33570000
0.03779283 -47.33250000
0.07558567 -47.32960000
0.11337850 -47.32700000
0.15117132 -47.32470000
0.18896417 -47.32260000
0.22675699 -47.32080000
0.26454982 -47.31930000
0.30234266 -47.31800000
0.34013549 -47.31690000
0.37792832 -47.31600000
0.41572116 -47.31540000
0.45351399 -47.31490000
0.49130681 -47.31450000
0.52909966 -47.31430000
0.56689248 -47.31420000
0.60468531 -47.31410000
0.64247815 -47.31420000
0.68027098 -47.31420000
0.71806381 -47.31430000
0.75585665 -47.31440000
0.79364948 -47.31450000
0.83144230 -47.31460000
0.86923515 -47.31470000
0.90702797 -47.31470000
0.90702797 -47.31470000
0.93314841 -47.31480000
0.95926885 -47.31510000
0.98538929 -47.31560000
1.01150972 -47.31640000
1.03763017 -47.31730000
1.06375060 -47.31850000
1.08987104 -47.31980000
1.11599148 -47.32130000
1.14211192 -47.32300000
1.16823235 -47.32490000
1.19435280 -47.32700000
1.22047323 -47.32920000
1.24659367 -47.33160000
1.27271411 -47.33410000
1.29883455 -47.33670000
1.32495498 -47.33950000
1.35107543 -47.34230000
1.37719586 -47.34530000
1.40331630 -47.34830000
1.42943674 -47.35140000
1.45555718 -47.35460000
1.48167761 -47.35780000
1.50779806 -47.36100000
1.53391849 -47.36420000
1.53391849 -47.36420000
1.57171132 -47.36410000
1.60950416 -47.36370000
1.64729699 -47.36310000
1.68508981 -47.36230000
1.72288266 -47.36130000
1.76067548 -47.36000000
1.79846831 -47.35860000
1.83626115 -47.35710000
1.87405398 -47.35540000
1.91184681 -47.35360000
1.94963965 -47.35180000
1.98743248 -47.34990000
2.02522530 -47.34800000
2.06301815 -47.34620000
2.10081097 -47.34440000
2.13860380 -47.34270000
2.17639664 -47.34110000
2.21418947 -47.33970000
2.25198230 -47.33850000
2.28977514 -47.33740000
2.32756797 -47.33660000
2.36536079 -47.33600000
2.40315364 -47.33560000
2.44094646 -47.33550000
2.44094646 -47.33550000
2.47873929 -47.33540000
2.51653213 -47.33500000
2.55432496 -47.33440000
2.59211779 -47.33360000
2.62991063 -47.33260000
2.66770346 -47.33140000
2.70549628 -47.33000000
2.74328913 -47.32850000
2.78108195 -47.32680000
2.81887478 -47.32510000
2.85666762 -47.32330000
2.89446045 -47.32140000
2.93225328 -47.31960000
2.97004612 -47.31780000
3.00783895 -47.31600000
3.04563177 -47.31440000
3.08342462 -47.31280000
3.12121744 -47.31150000
3.15901027 -47.31020000
3.19680311 -47.30920000
3.23459594 -47.30840000
3.27238877 -47.30780000
3.31018161 -47.30740000
3.34797444 -47.30730000
3.34797444 -47.30730000
3.40142156 -47.30760000
3.45486872 -47.30830000
3.50831584 -47.30950000
3.56176297 -47.31110000
3.61521012 -47.31320000
3.66865725 -47.31560000
3.72210438 -47.31840000
3.77555153 -47.32150000
3.82899866 -47.32480000
3.88244579 -47.32830000
3.93589294 -47.33200000
3.98934007 -47.33570000
4.04278719 -47.33940000
4.09623435 -47.34310000
4.14968147 -47.34660000
4.20312860 -47.34990000
4.25657575 -47.35300000
4.31002288 -47.35580000
4.36347001 -47.35830000
4.41691716 -47.36040000
4.47036429 -47.36200000
4.52381142 -47.36320000
4.57725857 -47.36400000
4.63070570 -47.36420000

0.00000000 -26.13290000
0.03779283 -26.13590000
0.07558567 -26.13410000
0.11337850 -26.12740000
0.15117132 -26.11600000
0.18896417 -26.10010000
0.22675699 -26.07990000
0.26454982 -26.07300000
0.30234266 -26.10540000
0.34013549 -26.14070000
0.37792832 -26.17620000
0.41572116 -26.21100000
0.45351399 -26.24450000
0.49130681 -26.27620000
0.52909966 -26.30610000
0.56689248 -26.33370000
0.60468531 -26.35900000
0.64247815 -26.38170000
0.68027098 -26.40170000
0.71806381 -26.41880000
0.75585665 -26.43300000
0.79364948 -26.44410000
0.83144230 -26.45210000
0.86923515 -26.45690000
0.90702797 -26.45850000
0.90702797 -26.45850000
0.93314841 -26.45750000
0.95926885 -26.45460000
0.98538929 -26.44980000
1.01150972 -26.44300000
1.03763017 -26.43440000
1.06375060 -26.42380000
1.08987104 -26.41150000
1.11599148 -26.39720000
1.14211192 -26.38120000
1.16823235 -26.36350000
1.19435280 -26.34400000
1.22047323 -26.32280000
1.24659367 -26.30010000
1.27271411 -26.27580000
1.29883455 -26.25000000
1.32495498 -26.22270000
1.35107543 -26.19420000
1.37719586 -26.16430000
1.40331630 -26.13330000
1.42943674 -26.10130000
1.45555718 -26.06820000
1.48167761 -26.03430000
1.50779806 -25.99960000
1.53391849 -25.96430000
1.53391849 -25.96430000
1.57171132 -25.96590000
1.60950416 -25.97060000
1.64729699 -25.97840000
1.68508981 -25.98950000
1.72288266 -26.00380000
1.76067548 -26.02120000
1.79846831 -26.04170000
1.83626115 -26.06490000
1.87405398 -26.09060000
1.91184681 -26.11810000
1.94963965 -26.14690000
1.98743248 -26.17650000
2.02522530 -26.20620000
2.06301815 -26.23530000
2.10081097 -26.26330000
2.13860380 -26.28950000
2.17639664 -26.31350000
2.21418947 -26.33470000
2.25198230 -26.35270000
2.28977514 -26.36720000
2.32756797 -26.37790000
2.36536079 -26.38460000
2.40315364 -26.38700000
2.44094646 -26.38530000
2.44094646 -26.38530000
2.47873929 -26.38420000
2.51653213 -26.38120000
2.55432496 -26.37610000
2.59211779 -26.36910000
2.62991063 -26.36010000
2.66770346 -26.34940000
2.70549628 -26.33700000
2.74328913 -26.32310000
2.78108195 -26.30770000
2.81887478 -26.29110000
2.85666762 -26.27350000
2.89446045 -26.25510000
2.93225328 -26.23620000
2.97004612 -26.21690000
3.00783895 -26.19770000
3.04563177 -26.17880000
3.08342462 -26.16070000
3.12121744 -26.14370000
3.15901027 -26.12820000
3.19680311 -26.11480000
3.23459594 -26.10370000
3.27238877 -26.09550000
3.31018161 -26.09040000
3.34797444 -26.08870000
3.34797444 -26.08870000
3.40142156 -26.08960000
3.45486872 -26.09220000
3.50831584 -26.09610000
3.56176297 -26.10070000
3.61521012 -26.10550000
3.66865725 -26.10970000
3.72210438 -26.11280000
3.77555153 -26.11440000
3.82899866 -26.11410000
3.88244579 -26.11160000
3.93589294 -26.10680000
3.98934007 -26.09970000
4.04278719 -26.09040000
4.09623435 -26.07910000
4.14968147 -26.06610000
4.20312860 -26.05180000
4.25657575 -26.03670000
4.31002288 -26.02130000
4.36347001 -26.00640000
4.41691716 -25.99280000
4.47036429 -25.98100000
4.52381142 -25.97200000
4.57725857 -25.96630000
4.63070570 -25.96430000

0.00000000 -26.13290000
0.03779283 -26.12500000
0.07558567 -26.11250000
0.11337850 -26.09590000
0.15117132 -26.07630000
0.18896417 -26.05760000
0.22675699 -26.05260000
0.26454982 -26.05590000
0.30234266 -26.02840000
0.34013549 -25.99780000
