# energy dos(up) dos(down)
-4.590300000000000047e+00 1.340700000000000003e+00 -1.340700000000000003e+00
-4.506999999999999673e+00 1.690499999999999892e+00 -1.690600000000000103e+00
-4.423600000000000421e+00 1.808799999999999963e+00 -1.808799999999999963e+00
-4.340300000000000047e+00 2.017999999999999794e+00 -2.018100000000000005e+00
-4.256999999999999673e+00 2.705400000000000027e+00 -2.705400000000000027e+00
-4.173600000000000421e+00 3.039400000000000102e+00 -3.039499999999999869e+00
-4.090300000000000047e+00 2.096999999999999975e+00 -2.096999999999999975e+00
-4.006999999999999673e+00 1.916500000000000092e+00 -1.916500000000000092e+00
-3.923599999999999977e+00 2.213799999999999990e+00 -2.213799999999999990e+00
-3.840300000000000047e+00 1.746699999999999919e+00 -1.746599999999999930e+00
-3.757000000000000117e+00 1.739800000000000013e+00 -1.739800000000000013e+00
-3.673599999999999977e+00 1.920400000000000107e+00 -1.920400000000000107e+00
-3.590300000000000047e+00 2.207899999999999974e+00 -2.207800000000000207e+00
-3.507000000000000117e+00 2.292800000000000171e+00 -2.292800000000000171e+00
-3.423599999999999977e+00 2.028000000000000025e+00 -2.028000000000000025e+00
-3.340300000000000047e+00 1.887599999999999945e+00 -1.887599999999999945e+00
-3.257000000000000117e+00 1.811099999999999932e+00 -1.811099999999999932e+00
-3.173599999999999977e+00 2.021700000000000053e+00 -2.021700000000000053e+00
-3.090300000000000047e+00 1.993300000000000072e+00 -1.993200000000000083e+00
-3.007000000000000117e+00 1.523700000000000054e+00 -1.523600000000000065e+00
-2.923599999999999977e+00 1.175699999999999967e+00 -1.175699999999999967e+00
-2.840300000000000047e+00 1.150300000000000100e+00 -1.150300000000000100e+00
-2.757000000000000117e+00 1.147199999999999998e+00 -1.147199999999999998e+00
-2.673599999999999977e+00 1.185300000000000020e+00 -1.185300000000000020e+00
-2.590300000000000047e+00 1.350400000000000045e+00 -1.350400000000000045e+00
-2.507000000000000117e+00 1.363799999999999901e+00 -1.363799999999999901e+00
-2.423599999999999977e+00 1.740299999999999958e+00 -1.740299999999999958e+00
-2.340300000000000047e+00 1.997500000000000053e+00 -1.997500000000000053e+00
-2.257000000000000117e+00 1.995600000000000041e+00 -1.995600000000000041e+00
-2.173599999999999977e+00 2.153000000000000025e+00 -2.153000000000000025e+00
-2.090300000000000047e+00 2.082399999999999807e+00 -2.082500000000000018e+00
-2.007000000000000117e+00 2.089500000000000135e+00 -2.089500000000000135e+00
-1.923599999999999977e+00 2.205299999999999816e+00 -2.205299999999999816e+00
-1.840300000000000047e+00 2.119400000000000173e+00 -2.119400000000000173e+00
-1.757000000000000117e+00 2.250999999999999890e+00 -2.250999999999999890e+00
-1.673599999999999977e+00 2.542499999999999982e+00 -2.542499999999999982e+00
-1.590300000000000047e+00 2.292699999999999960e+00 -2.292699999999999960e+00
-1.507000000000000117e+00 2.275700000000000056e+00 -2.275700000000000056e+00
-1.423599999999999977e+00 2.386800000000000033e+00 -2.386699999999999822e+00
-1.340300000000000047e+00 2.687300000000000022e+00 -2.687500000000000000e+00
-1.257000000000000117e+00 3.654900000000000038e+00 -3.654999999999999805e+00
-1.173599999999999977e+00 2.634300000000000086e+00 -2.634300000000000086e+00
-1.090300000000000047e+00 3.587899999999999867e+00 -3.588000000000000078e+00
-1.007000000000000117e+00 3.593500000000000139e+00 -3.593500000000000139e+00
-9.235999999999999766e-01 2.649500000000000188e+00 -2.649500000000000188e+00
-8.403000000000000469e-01 3.135600000000000165e+00 -3.135600000000000165e+00
-7.570000000000001172e-01 3.142199999999999882e+00 -3.142300000000000093e+00
-6.735999999999999766e-01 2.944399999999999906e+00 -2.944100000000000161e+00
-5.903000000000000469e-01 2.654700000000000060e+00 -2.654700000000000060e+00
-5.069999999999996732e-01 2.427000000000000046e+00 -2.427000000000000046e+00
-4.236000000000004206e-01 2.021799999999999820e+00 -2.021799999999999820e+00
-3.403000000000000469e-01 2.299300000000000122e+00 -2.298900000000000166e+00
-2.569999999999996732e-01 6.148000000000000131e-01 -6.146000000000000352e-01
-1.736000000000004206e-01 4.796000000000000263e-01 -4.796000000000000263e-01
-9.030000000000004690e-02 4.022000000000000020e-01 -4.021000000000000130e-01
-6.999999999999673150e-03 1.506000000000000116e-01 -1.504999999999999949e-01
7.639999999999957936e-02 0.000000000000000000e+00 -0.000000000000000000e+00
1.596999999999999531e-01 0.000000000000000000e+00 -0.000000000000000000e+00
2.430000000000003268e-01 0.000000000000000000e+00 -0.000000000000000000e+00
3.263999999999995794e-01 0.000000000000000000e+00 -0.000000000000000000e+00
4.096999999999999531e-01 0.000000000000000000e+00 -0.000000000000000000e+00
4.930000000000003268e-01 0.000000000000000000e+00 -0.000000000000000000e+00
5.763999999999995794e-01 0.000000000000000000e+00 -0.000000000000000000e+00
6.596999999999999531e-01 0.000000000000000000e+00 -0.000000000000000000e+00
7.430000000000003268e-01 0.000000000000000000e+00 -0.000000000000000000e+00
8.263999999999995794e-01 0.000000000000000000e+00 -0.000000000000000000e+00
9.096999999999999531e-01 0.000000000000000000e+00 -0.000000000000000000e+00
9.930000000000003268e-01 0.000000000000000000e+00 -0.000000000000000000e+00
1.076399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.159699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.243000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.326399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.409699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.493000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.576399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.659699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.743000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.826399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.909699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.993000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.076399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.159699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.243000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.326399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.409699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.493000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.576399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.659699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.743000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.826399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.909699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.993000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.076399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.159699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.243000000000000327e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.326399999999999579e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.409699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.492999999999999439e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.576400000000000468e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.659699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.742999999999999439e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.826400000000000468e+00 3.200000000000000153e-03 -3.200000000000000153e-03
3.909699999999999953e+00 5.809999999999999887e-02 -5.809999999999999887e-02
3.992999999999999439e+00 9.110000000000000042e-02 -9.110000000000000042e-02
4.076400000000000468e+00 1.477999999999999869e-01 -1.477999999999999869e-01
4.159699999999999953e+00 3.588000000000000078e-01 -3.588000000000000078e-01
4.242999999999999439e+00 5.721000000000000529e-01 -5.721000000000000529e-01
4.326400000000000468e+00 2.146100000000000119e+00 -2.146199999999999886e+00
4.409699999999999953e+00 3.731300000000000061e+00 -3.731199999999999850e+00
4.492999999999999439e+00 3.218399999999999928e+00 -3.218500000000000139e+00
4.576400000000000468e+00 4.279399999999999871e+00 -4.279899999999999594e+00
4.659699999999999953e+00 5.376500000000000057e+00 -5.376800000000000246e+00
4.742999999999999439e+00 4.711000000000000298e+00 -4.710700000000000109e+00
4.826400000000000468e+00 3.621799999999999908e+00 -3.621799999999999908e+00
4.909699999999999953e+00 3.630799999999999805e+00 -3.630999999999999783e+00
4.992999999999999439e+00 3.750300000000000189e+00 -3.750500000000000167e+00
5.076400000000000468e+00 3.500399999999999956e+00 -3.500300000000000189e+00
5.159699999999999953e+00 3.253299999999999859e+00 -3.253200000000000092e+00
5.242999999999999439e+00 3.064999999999999947e+00 -3.064999999999999947e+00
5.326400000000000468e+00 3.100800000000000001e+00 -3.101599999999999913e+00
5.409699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
5.492999999999999439e+00 0.000000000000000000e+00 -0.000000000000000000e+00
5.576400000000000468e+00 0.000000000000000000e+00 -0.000000000000000000e+00
5.659699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
5.742999999999999439e+00 0.000000000000000000e+00 -0.000000000000000000e+00
5.826400000000000468e+00 0.000000000000000000e+00 -0.000000000000000000e+00
5.909699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
5.992999999999999439e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.076400000000000468e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.159699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.242999999999999439e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.326400000000000468e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.409699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.492999999999999439e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.576400000000000468e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.659699999999999953e+00 0.000000000000000000e+00 -0.000000000000000000e+00
6.742999999999999439e+00 6.379999999999999560e-02 -6.379999999999999560e-02
6.826400000000000468e+00 1.151999999999999968e-01 -1.151999999999999968e-01
6.909699999999999953e+00 3.123000000000000220e-01 -3.123000000000000220e-01
6.992999999999999439e+00 2.531000000000000139e+00 -2.531099999999999905e+00
7.076400000000000468e+00 3.381699999999999928e+00 -3.381699999999999928e+00
7.159699999999999953e+00 3.785099999999999909e+00 -3.785099999999999909e+00
7.242999999999999439e+00 2.469800000000000217e+00 -2.469700000000000006e+00
7.326400000000000468e+00 1.801700000000000079e+00 -1.801700000000000079e+00
7.409699999999999953e+00 1.918299999999999894e+00 -1.918299999999999894e+00
7.492999999999999439e+00 2.068799999999999972e+00 -2.068799999999999972e+00
7.576400000000000468e+00 2.182199999999999918e+00 -2.182199999999999918e+00
7.659699999999999953e+00 1.752099999999999991e+00 -1.752099999999999991e+00
7.742999999999999439e+00 1.368999999999999995e+00 -1.368999999999999995e+00
7.826400000000000468e+00 1.415100000000000025e+00 -1.415100000000000025e+00
7.909699999999999953e+00 1.486299999999999955e+00 -1.486299999999999955e+00
7.992999999999999439e+00 1.874900000000000011e+00 -1.874900000000000011e+00
8.076399999999999579e+00 2.428799999999999848e+00 -2.428799999999999848e+00
8.159700000000000841e+00 2.457899999999999974e+00 -2.457899999999999974e+00
8.242999999999998550e+00 2.275300000000000100e+00 -2.275300000000000100e+00
8.326399999999999579e+00 1.994699999999999918e+00 -1.994699999999999918e+00
8.409700000000000841e+00 2.169700000000000184e+00 -2.169700000000000184e+00
8.492999999999998550e+00 2.348899999999999988e+00 -2.349000000000000199e+00
8.576399999999999579e+00 2.721900000000000208e+00 -2.721900000000000208e+00
8.659700000000000841e+00 2.350200000000000067e+00 -2.350200000000000067e+00
8.742999999999998550e+00 2.169000000000000039e+00 -2.168899999999999828e+00
8.826399999999999579e+00 2.046800000000000175e+00 -2.046800000000000175e+00
8.909700000000000841e+00 1.933100000000000041e+00 -1.933100000000000041e+00
8.992999999999998550e+00 1.866000000000000103e+00 -1.866000000000000103e+00
9.076399999999999579e+00 1.802899999999999947e+00 -1.802899999999999947e+00
9.159700000000000841e+00 1.786699999999999955e+00 -1.786799999999999944e+00
9.242999999999998550e+00 1.786000000000000032e+00 -1.786000000000000032e+00
9.326399999999999579e+00 1.727400000000000047e+00 -1.727500000000000036e+00
9.409700000000000841e+00 1.492499999999999938e+00 -1.492499999999999938e+00
9.492999999999998550e+00 1.467899999999999983e+00 -1.467899999999999983e+00
9.576399999999999579e+00 1.479400000000000048e+00 -1.479400000000000048e+00
9.659700000000000841e+00 1.299900000000000055e+00 -1.299800000000000066e+00
9.742999999999998550e+00 1.010499999999999954e+00 -1.010499999999999954e+00
9.826399999999999579e+00 9.184999999999999831e-01 -9.184999999999999831e-01
9.909700000000000841e+00 8.206999999999999851e-01 -8.206999999999999851e-01
9.992999999999998550e+00 8.577000000000000179e-01 -8.577000000000000179e-01
1.007639999999999958e+01 7.386000000000000343e-01 -7.386000000000000343e-01
1.015970000000000084e+01 8.545000000000000373e-01 -8.545000000000000373e-01
1.024299999999999855e+01 1.174500000000000099e+00 -1.174500000000000099e+00
1.032639999999999958e+01 1.051900000000000057e+00 -1.051900000000000057e+00
1.040970000000000084e+01 9.466999999999999860e-01 -9.466999999999999860e-01
1.049299999999999855e+01 8.721999999999999753e-01 -8.721999999999999753e-01
1.057639999999999958e+01 7.943000000000000060e-01 -7.943000000000000060e-01
1.065970000000000084e+01 6.709000000000000519e-01 -6.707999999999999519e-01
1.074299999999999855e+01 6.629000000000000448e-01 -6.629000000000000448e-01
1.082639999999999958e+01 6.723000000000000087e-01 -6.723000000000000087e-01
1.090970000000000084e+01 7.069999999999999618e-01 -7.069999999999999618e-01
1.099299999999999855e+01 6.953000000000000291e-01 -6.953000000000000291e-01
1.107639999999999958e+01 6.918999999999999595e-01 -6.918999999999999595e-01
1.115970000000000084e+01 6.838999999999999524e-01 -6.838999999999999524e-01
1.124299999999999855e+01 6.768999999999999462e-01 -6.768999999999999462e-01
1.132639999999999958e+01 6.675999999999999712e-01 -6.675999999999999712e-01
1.140970000000000084e+01 6.791000000000000369e-01 -6.791000000000000369e-01
1.149300000000000210e+01 6.178000000000000158e-01 -6.178000000000000158e-01
1.157639999999999958e+01 6.002999999999999448e-01 -6.002999999999999448e-01
1.165970000000000084e+01 6.218000000000000194e-01 -6.218000000000000194e-01
1.174300000000000210e+01 5.925000000000000266e-01 -5.925000000000000266e-01
1.182639999999999958e+01 5.708999999999999631e-01 -5.708999999999999631e-01
1.190970000000000084e+01 5.565999999999999837e-01 -5.565999999999999837e-01
1.199300000000000210e+01 5.387999999999999456e-01 -5.387999999999999456e-01
1.207639999999999958e+01 5.222999999999999865e-01 -5.222999999999999865e-01
1.215970000000000084e+01 5.030999999999999917e-01 -5.030999999999999917e-01
1.224300000000000210e+01 4.852000000000000202e-01 -4.852000000000000202e-01
1.232639999999999958e+01 4.686000000000000165e-01 -4.686000000000000165e-01
1.240970000000000084e+01 4.532999999999999807e-01 -4.532999999999999807e-01
1.249300000000000210e+01 4.415000000000000036e-01 -4.415000000000000036e-01
1.257639999999999958e+01 4.274000000000000021e-01 -4.274000000000000021e-01
1.265970000000000084e+01 4.102000000000000091e-01 -4.102000000000000091e-01
1.274300000000000210e+01 3.952999999999999847e-01 -3.952999999999999847e-01
1.282639999999999958e+01 3.829000000000000181e-01 -3.829000000000000181e-01
1.290970000000000084e+01 3.689000000000000057e-01 -3.689000000000000057e-01
1.299300000000000210e+01 3.522000000000000131e-01 -3.522000000000000131e-01
1.307639999999999958e+01 3.402999999999999914e-01 -3.402999999999999914e-01
1.315970000000000084e+01 2.792000000000000037e-01 -2.792000000000000037e-01
1.324300000000000210e+01 2.409999999999999920e-01 -2.409999999999999920e-01
1.332639999999999958e+01 2.079000000000000015e-01 -2.079000000000000015e-01
1.340970000000000084e+01 1.782999999999999863e-01 -1.782999999999999863e-01
1.349300000000000210e+01 1.469000000000000028e-01 -1.469000000000000028e-01
1.357639999999999958e+01 1.260000000000000009e-01 -1.260000000000000009e-01
1.365970000000000084e+01 1.026999999999999996e-01 -1.026999999999999996e-01
1.374300000000000210e+01 8.759999999999999731e-02 -8.759999999999999731e-02
1.382639999999999958e+01 7.380000000000000449e-02 -7.380000000000000449e-02
1.390970000000000084e+01 6.160000000000000198e-02 -6.160000000000000198e-02
1.399300000000000210e+01 5.369999999999999774e-02 -5.369999999999999774e-02
1.407639999999999958e+01 2.900000000000000147e-02 -2.900000000000000147e-02
1.415970000000000084e+01 2.179999999999999993e-02 -2.179999999999999993e-02
1.424300000000000210e+01 1.650000000000000078e-02 -1.650000000000000078e-02
1.432639999999999958e+01 1.209999999999999964e-02 -1.209999999999999964e-02
1.440970000000000084e+01 8.699999999999999400e-03 -8.699999999999999400e-03
1.449300000000000210e+01 6.300000000000000044e-03 -6.300000000000000044e-03
1.457639999999999958e+01 3.780000000000000027e-02 -3.780000000000000027e-02
1.465970000000000084e+01 2.068000000000000116e-01 -2.068000000000000116e-01
1.474300000000000210e+01 2.887000000000000122e-01 -2.887000000000000122e-01
1.482639999999999958e+01 4.022000000000000020e-01 -4.021000000000000130e-01
1.490970000000000084e+01 5.352999999999999980e-01 -5.352999999999999980e-01
1.499300000000000210e+01 6.473999999999999755e-01 -6.473999999999999755e-01
1.507639999999999958e+01 8.010000000000000453e-01 -8.008999999999999453e-01
1.515970000000000084e+01 1.028100000000000014e+00 -1.028000000000000025e+00
1.524300000000000210e+01 1.155399999999999983e+00 -1.155299999999999994e+00
1.532639999999999958e+01 1.000199999999999978e+00 -1.000199999999999978e+00
1.540970000000000084e+01 8.578999999999999959e-01 -8.579999999999999849e-01
