#k-distance eigenvalue[eV]
0.00000000 -47.55290000
0.03591143 -47.55440000
0.07182288 -47.55590000
0.10773431 -47.55760000
0.14364574 -47.55930000
0.17955719 -47.56110000
0.21546862 -47.56300000
0.25138005 -47.56490000
0.28729149 -47.56690000
0.32320292 -47.56890000
0.35911435 -47.57080000
0.39502580 -47.57280000
0.43093723 -47.57470000
0.46684866 -47.57650000
0.50276011 -47.57830000
0.53867154 -47.57990000
0.57458297 -47.58150000
0.61049442 -47.58290000
0.64640585 -47.58410000
0.68231728 -47.58520000
0.71822873 -47.58610000
0.75414016 -47.58680000
0.79005159 -47.58730000
0.82596303 -47.58760000
0.86187447 -47.58770000
0.86187447 -47.58770000
0.88659407 -47.58770000
0.91131369 -47.58750000
0.93603330 -47.58730000
0.96075290 -47.58700000
0.98547252 -47.58660000
1.01019213 -47.58610000
1.03491174 -47.58550000
1.05963135 -47.58490000
1.08435096 -47.58420000
1.10907057 -47.58340000
1.13379019 -47.58250000
1.15850979 -47.58160000
1.18322940 -47.58060000
1.20794902 -47.57950000
1.23266862 -47.57840000
1.25738823 -47.57720000
1.28210785 -47.57600000
1.30682746 -47.57480000
1.33154706 -47.57350000
1.35626668 -47.57220000
1.38098629 -47.57090000
1.40570590 -47.56950000
1.43042551 -47.56810000
1.45514512 -47.56680000
1.45514512 -47.56680000
1.49105655 -47.56670000
1.52696800 -47.56650000
1.56287943 -47.56620000
1.59879086 -47.56580000
1.63470231 -47.56530000
1.67061374 -47.56470000
1.70652517 -47.56410000
1.74243661 -47.56330000
1.77834804 -47.56250000
1.81425948 -47.56160000
1.85017092 -47.56070000
1.88608235 -47.55980000
1.92199378 -47.55890000
1.95790523 -47.55800000
1.99381666 -47.55720000
2.02972809 -47.55640000
2.06563954 -47.55560000
2.10155097 -47.55490000
2.13746240 -47.55430000
2.17337385 -47.55380000
2.20928528 -47.55340000
2.24519671 -47.55310000
2.28110816 -47.55300000
2.31701959 -47.55290000
2.31701959 -47.55290000
2.35293102 -47.55280000
2.38884246 -47.55270000
2.42475389 -47.55240000
2.46066532 -47.55200000
2.49657677 -47.55150000
2.53248820 -47.55090000
2.56839963 -47.55020000
2.60431108 -47.54950000
2.64022251 -47.54870000
2.67613394 -47.54780000
2.71204539 -47.54700000
2.74795682 -47.54610000
2.78386825 -47.54520000
2.81977970 -47.54430000
2.85569113 -47.54340000
2.89160256 -47.54260000
2.92751400 -47.54190000
2.96342543 -47.54120000
2.99933686 -47.54060000
3.03524831 -47.54010000
3.07115974 -47.53970000
3.10707117 -47.53940000
3.14298262 -47.53930000
3.17889405 -47.53920000
3.17889405 -47.53920000
3.22968048 -47.53930000
3.28046694 -47.53970000
3.33125337 -47.54030000
3.38203980 -47.54110000
3.43282626 -47.54210000
3.48361269 -47.54320000
3.53439912 -47.54460000
3.58518558 -47.54610000
3.63597201 -47.54770000
3.68675845 -47.54940000
3.73754490 -47.55120000
3.78833133 -47.55300000
3.83911777 -47.55480000
3.88990422 -47.55650000
3.94069066 -47.55820000
3.99147709 -47.55990000
4.04226354 -47.56140000
4.09304998 -47.56270000
4.14383641 -47.56390000
4.19462287 -47.56490000
4.24540930 -47.56570000
4.29619573 -47.56630000
4.34698219 -47.56660000
4.39776862 -47.56680000

0.00000000 -47.55290000
0.03591143 -47.55160000
0.07182288 -47.55040000
0.10773431 -47.54940000
0.14364574 -47.54840000
0.17955719 -47.54760000
0.21546862 -47.54690000
0.25138005 -47.54630000
0.28729149 -47.54590000
0.32320292 -47.54550000
0.35911435 -47.54530000
0.39502580 -47.54510000
0.43093723 -47.54500000
0.46684866 -47.54500000
0.50276011 -47.54500000
0.53867154 -47.54500000
0.57458297 -47.54510000
0.61049442 -47.54520000
0.64640585 -47.54530000
0.68231728 -47.54540000
0.71822873 -47.54550000
0.75414016 -47.54560000
0.79005159 -47.54570000
0.82596303 -47.54570000
0.86187447 -47.54580000
0.86187447 -47.54580000
0.88659407 -47.54580000
0.91131369 -47.54590000
0.93603330 -47.54620000
0.96075290 -47.54650000
0.98547252 -47.54690000
1.01019213 -47.54740000
1.03491174 -47.54790000
1.05963135 -47.54860000
1.08435096 -47.54930000
1.10907057 -47.55010000
1.13379019 -47.55100000
1.15850979 -47.55190000
1.18322940 -47.55290000
1.20794902 -47.55400000
1.23266862 -47.55510000
1.25738823 -47.55630000
1.28210785 -47.55750000
1.30682746 -47.55870000
1.33154706 -47.56000000
1.35626668 -47.56130000
1.38098629 -47.56270000
1.40570590 -47.56400000
1.43042551 -47.56540000
1.45514512 -47.56680000
1.45514512 -47.56680000
1.49105655 -47.56670000
1.52696800 -47.56650000
1.56287943 -47.56620000
1.59879086 -47.56580000
1.63470231 -47.56530000
1.67061374 -47.56470000
1.70652517 -47.56410000
1.74243661 -47.56330000
1.77834804 -47.56250000
1.81425948 -47.56160000
1.85017092 -47.56070000
1.88608235 -47.55980000
1.92199378 -47.55890000
1.95790523 -47.55800000
1.99381666 -47.55720000
2.02972809 -47.55640000
2.06563954 -47.55560000
2.10155097 -47.55490000
2.13746240 -47.55430000
2.17337385 -47.55380000
2.20928528 -47.55340000
2.24519671 -47.55310000
2.28110816 -47.55300000
2.31701959 -47.55290000
2.31701959 -47.55290000
2.35293102 -47.55280000
2.38884246 -47.55270000
2.42475389 -47.55240000
2.46066532 -47.55200000
2.49657677 -47.55150000
2.53248820 -47.55090000
2.56839963 -47.55020000
2.60431108 -47.54950000
2.64022251 -47.54870000
2.67613394 -47.54780000
2.71204539 -47.54700000
2.74795682 -47.54610000
2.78386825 -47.54520000
2.81977970 -47.54430000
2.85569113 -47.54340000
2.89160256 -47.54260000
2.92751400 -47.54190000
2.96342543 -47.54120000
2.99933686 -47.54060000
3.03524831 -47.54010000
3.07115974 -47.53970000
3.10707117 -47.53940000
3.14298262 -47.53930000
3.17889405 -47.53920000
3.17889405 -47.53920000
3.22968048 -47.53930000
3.28046694 -47.53970000
3.33125337 -47.54030000
