#k-distance eigenvalue[eV]
0.00000000 -47.54170000
0.03590790 -47.54310000
0.07181582 -47.54470000
0.10772373 -47.54630000
0.14363163 -47.54810000
0.17953955 -47.54990000
0.21544745 -47.55180000
0.25135536 -47.55370000
0.28726328 -47.55570000
0.32317118 -47.55770000
0.35907908 -47.55960000
0.39498701 -47.56160000
0.43089491 -47.56350000
0.46680281 -47.56530000
0.50271073 -47.56710000
0.53861864 -47.56870000
0.57452654 -47.57030000
0.61043446 -47.57170000
0.64634236 -47.57290000
0.68225027 -47.57400000
0.71815819 -47.57490000
0.75406609 -47.57560000
0.78997399 -47.57610000
0.82588191 -47.57640000
0.86178982 -47.57650000
0.86178982 -47.57650000
0.88652022 -47.57650000
0.91125063 -47.57630000
0.93598103 -47.57610000
0.96071142 -47.57580000
0.98544184 -47.57540000
1.01017223 -47.57490000
1.03490263 -47.57440000
1.05963304 -47.57370000
1.08436344 -47.57300000
1.10909384 -47.57220000
1.13382425 -47.57130000
1.15855465 -47.57040000
1.18328505 -47.56940000
1.20801546 -47.56830000
1.23274586 -47.56720000
1.25747626 -47.56600000
1.28220667 -47.56480000
1.30693707 -47.56360000
1.33166747 -47.56230000
1.35639788 -47.56100000
1.38112828 -47.55960000
1.40585868 -47.55830000
1.43058909 -47.55690000
1.45531949 -47.55550000
1.45531949 -47.55550000
1.49122739 -47.55550000
1.52713531 -47.55530000
1.56304321 -47.55500000
1.59895112 -47.55460000
1.63485904 -47.55410000
1.67076694 -47.55350000
1.70667484 -47.55280000
1.74258276 -47.55210000
1.77849067 -47.55130000
1.81439857 -47.55040000
1.85030649 -47.54950000
1.88621440 -47.54860000
1.92212230 -47.54770000
1.95803022 -47.54680000
1.99393812 -47.54600000
2.02984603 -47.54510000
2.06575395 -47.54440000
2.10166185 -47.54370000
2.13756975 -47.54310000
2.17347767 -47.54260000
2.20938558 -47.54220000
2.24529348 -47.54190000
2.28120140 -47.54170000
2.31710931 -47.54170000
2.31710931 -47.54170000
2.35301721 -47.54160000
2.38892513 -47.54140000
2.42483303 -47.54110000
2.46074094 -47.54080000
2.49664886 -47.54030000
2.53255676 -47.53970000
2.56846466 -47.53900000
2.60437258 -47.53820000
2.64028049 -47.53740000
2.67618839 -47.53660000
2.71209631 -47.53570000
2.74800421 -47.53480000
2.78391212 -47.53390000
2.81982004 -47.53300000
2.85572794 -47.53220000
2.89163584 -47.53140000
2.92754377 -47.53060000
2.96345167 -47.53000000
2.99935957 -47.52940000
3.03526749 -47.52890000
3.07117540 -47.52850000
3.10708330 -47.52820000
3.14299122 -47.52800000
3.17889912 -47.52800000
3.17889912 -47.52800000
3.22968057 -47.52810000
3.28046204 -47.52840000
3.33124348 -47.52900000
3.38202492 -47.52980000
3.43280639 -47.53080000
3.48358784 -47.53200000
3.53436928 -47.53330000
3.58515075 -47.53480000
3.63593219 -47.53640000
3.68671364 -47.53820000
3.73749511 -47.53990000
3.78827655 -47.54170000
3.83905799 -47.54350000
3.88983946 -47.54530000
3.94062091 -47.54700000
3.99140235 -47.54860000
4.04218382 -47.55010000
4.09296526 -47.55150000
4.14374671 -47.55270000
4.19452818 -47.55370000
4.24530962 -47.55450000
4.29609106 -47.55510000
4.34687253 -47.55540000
4.39765398 -47.55550000

0.00000000 -47.54170000
0.03590790 -47.54040000
0.07181582 -47.53920000
0.10772373 -47.53810000
0.14363163 -47.53720000
0.17953955 -47.53640000
0.21544745 -47.53570000
0.25135536 -47.53510000
0.28726328 -47.53460000
0.32317118 -47.53430000
0.35907908 -47.53400000
0.39498701 -47.53380000
0.43089491 -47.53370000
0.46680281 -47.53370000
0.50271073 -47.53370000
0.53861864 -47.53380000
0.57452654 -47.53390000
0.61043446 -47.53400000
0.64634236 -47.53410000
0.68225027 -47.53420000
0.71815819 -47.53430000
0.75406609 -47.53440000
0.78997399 -47.53450000
0.82588191 -47.53450000
0.86178982 -47.53450000
0.86178982 -47.53450000
0.88652022 -47.53450000
0.91125063 -47.53470000
0.93598103 -47.53490000
0.96071142 -47.53520000
0.98544184 -47.53560000
1.01017223 -47.53610000
1.03490263 -47.53670000
1.05963304 -47.53730000
1.08436344 -47.53810000
1.10909384 -47.53890000
1.13382425 -47.53970000
1.15855465 -47.54070000
1.18328505 -47.54170000
1.20801546 -47.54270000
1.23274586 -47.54390000
1.25747626 -47.54500000
1.28220667 -47.54630000
1.30693707 -47.54750000
1.33166747 -47.54880000
1.35639788 -47.55010000
1.38112828 -47.55140000
1.40585868 -47.55280000
1.43058909 -47.55420000
1.45531949 -47.55550000
1.45531949 -47.55550000
1.49122739 -47.55550000
1.52713531 -47.55530000
1.56304321 -47.55500000
1.59895112 -47.55460000
1.63485904 -47.55410000
1.67076694 -47.55350000
1.70667484 -47.55280000
1.74258276 -47.55210000
1.77849067 -47.55130000
1.81439857 -47.55040000
1.85030649 -47.54950000
1.88621440 -47.54860000
1.92212230 -47.54770000
1.95803022 -47.54680000
1.99393812 -47.54590000
2.02984603 -47.54510000
2.06575395 -47.54440000
2.10166185 -47.54370000
2.13756975 -47.54310000
2.17347767 -47.54260000
2.20938558 -47.54220000
2.24529348 -47.54190000
2.28120140 -47.54170000
2.31710931 -47.54170000
2.31710931 -47.54170000
2.35301721 -47.54160000
2.38892513 -47.54140000
2.42483303 -47.54110000
2.46074094 -47.54080000
2.49664886 -47.54030000
2.53255676 -47.53970000
2.56846466 -47.53900000
2.60437258 -47.53820000
2.64028049 -47.53740000
2.67618839 -47.53660000
2.71209631 -47.53570000
2.74800421 -47.53480000
2.78391212 -47.53390000
2.81982004 -47.53300000
2.85572794 -47.53220000
2.89163584 -47.53140000
2.92754377 -47.53060000
2.96345167 -47.53000000
2.99935957 -47.52940000
3.03526749 -47.52890000
3.07117540 -47.52850000
3.10708330 -47.52820000
3.14299122 -47.52800000
3.17889912 -47.52800000
3.17889912 -47.52800000
3.22968057 -47.52810000
3.28046204 -47.52840000
3.33124348 -47.52900000
3.38202492 -47.52980000
3.43280639 -47.53080000
3.48358784 -47.53200000
3.53436928 -47.53330000
3.58515075 -47.53480000
3.63593219 -47.53640000
3.68671364 -47.53820000
3.73749511 -47.53990000
3.78827655 -47.54170000
3.83905799 -47.54350000
3.88983946 -47.54530000
3.94062091 -47.54700000
3.99140235 -47.54860000
4.04218382 -47.55010000
4.09296526 -47.55150000
4.14374671 -47.55270000
4.19452818 -47.55370000
4.24530962 -47.55450000
4.29609106 -47.55510000
4.34687253 -47.55540000
4.39765398 -47.55550000

0.00000000 -25.97590000
0.03590790 -25.97690000
0.07181582 -25.97510000
0.10772373 -25.97060000
0.14363163 -25.96330000
0.17953955 -25.95350000
0.21544745 -25.94120000
0.25135536 -25.93630000
0.28726328 -25.94420000
0.32317118 -25.95630000
0.35907908 -25.97040000
0.39498701 -25.98520000
0.43089491 -26.00010000
0.46680281 -26.01460000
0.50271073 -26.02850000
0.53861864 -26.04160000
0.57452654 -26.05360000
0.61043446 -26.06450000
0.64634236 -26.07410000
0.68225027 -26.08240000
0.71815819 -26.08930000
0.75406609 -26.09480000
0.78997399 -26.09870000
0.82588191 -26.10100000
0.86178982 -26.10180000
0.86178982 -26.10180000
0.88652022 -26.10130000
0.91125063 -26.09980000
0.93598103 -26.09730000
0.96071142 -26.09370000
0.98544184 -26.08920000
1.01017223 -26.08370000
1.03490263 -26.07730000
1.05963304 -26.06990000
1.08436344 -26.06160000
1.10909384 -26.05240000
1.13382425 -26.04230000
1.15855465 -26.03140000
1.18328505 -26.01980000
1.20801546 -26.00730000
1.23274586 -25.99420000
1.25747626 -25.98040000
1.28220667 -25.96590000
1.30693707 -25.95100000
1.33166747 -25.93540000
1.35639788 -25.91950000
1.38112828 -25.90310000
1.40585868 -25.88640000
1.43058909 -25.86940000
1.45531949 -25.85220000
1.45531949 -25.85220000
1.49122739 -25.85320000
