#k-distance eigenvalue[eV]
0.00000000 -47.54120000
0.03590790 -47.54270000
0.07181582 -47.54420000
0.10772373 -47.54590000
0.14363163 -47.54760000
0.17953955 -47.54950000
0.21544745 -47.55130000
0.25135536 -47.55330000
0.28726328 -47.55520000
0.32317118 -47.55720000
0.35907908 -47.55920000
0.39498701 -47.56110000
0.43089491 -47.56310000
0.46680281 -47.56490000
0.50271073 -47.56660000
0.53861864 -47.56830000
0.57452654 -47.56980000
0.61043446 -47.57120000
0.64634236 -47.57250000
0.68225027 -47.57360000
0.71815819 -47.57450000
0.75406609 -47.57520000
0.78997399 -47.57570000
0.82588191 -47.57600000
0.86178982 -47.57610000
0.86178982 -47.57610000
0.88652022 -47.57600000
0.91125063 -47.57590000
0.93598103 -47.57570000
0.96071142 -47.57540000
0.98544184 -47.57500000
1.01017223 -47.57450000
1.03490263 -47.57390000
1.05963304 -47.57330000
1.08436344 -47.57260000
1.10909384 -47.57180000
1.13382425 -47.57090000
1.15855465 -47.56990000
1.18328505 -47.56890000
1.20801546 -47.56790000
1.23274586 -47.56680000
1.25747626 -47.56560000
1.28220667 -47.56440000
1.30693707 -47.56310000
1.33166747 -47.56190000
1.35639788 -47.56050000
1.38112828 -47.55920000
1.40585868 -47.55780000
1.43058909 -47.55650000
1.45531949 -47.55510000
1.45531949 -47.55510000
1.49122739 -47.55500000
1.52713531 -47.55490000
1.56304321 -47.55460000
1.59895112 -47.55420000
1.63485904 -47.55370000
1.67076694 -47.55310000
1.70667484 -47.55240000
1.74258276 -47.55160000
1.77849067 -47.55080000
1.81439857 -47.55000000
1.85030649 -47.54910000
1.88621440 -47.54820000
1.92212230 -47.54730000
1.95803022 -47.54640000
1.99393812 -47.54550000
2.02984603 -47.54470000
2.06575395 -47.54390000
2.10166185 -47.54320000
2.13756975 -47.54260000
2.17347767 -47.54210000
2.20938558 -47.54170000
2.24529348 -47.54140000
2.28120140 -47.54130000
2.31710931 -47.54120000
2.31710931 -47.54120000
2.35301721 -47.54110000
2.38892513 -47.54100000
2.42483303 -47.54070000
2.46074094 -47.54030000
2.49664886 -47.53980000
2.53255676 -47.53920000
2.56846466 -47.53850000
2.60437258 -47.53780000
2.64028049 -47.53700000
2.67618839 -47.53610000
2.71209631 -47.53520000
2.74800421 -47.53440000
2.78391212 -47.53350000
2.81982004 -47.53260000
2.85572794 -47.53170000
2.89163584 -47.53090000
2.92754377 -47.53020000
2.96345167 -47.52950000
2.99935957 -47.52890000
3.03526749 -47.52840000
3.07117540 -47.52800000
3.10708330 -47.52770000
3.14299122 -47.52750000
3.17889912 -47.52750000
3.17889912 -47.52750000
3.22968057 -47.52760000
3.28046204 -47.52800000
3.33124348 -47.52850000
3.38202492 -47.52930000
3.43280639 -47.53030000
3.48358784 -47.53150000
3.53436928 -47.53290000
3.58515075 -47.53440000
3.63593219 -47.53600000
3.68671364 -47.53770000
3.73749511 -47.53950000
3.78827655 -47.54130000
3.83905799 -47.54310000
3.88983946 -47.54480000
3.94062091 -47.54660000
3.99140235 -47.54820000
4.04218382 -47.54970000
4.09296526 -47.55100000
4.14374671 -47.55220000
4.19452818 -47.55320000
4.24530962 -47.55400000
4.29609106 -47.55460000
4.34687253 -47.55500000
4.39765398 -47.55510000

0.00000000 -47.54120000
0.03590790 -47.53990000
0.07181582 -47.53870000
0.10772373 -47.53770000
0.14363163 -47.53670000
0.17953955 -47.53590000
0.21544745 -47.53520000
0.25135536 -47.53460000
0.28726328 -47.53420000
0.32317118 -47.53380000
0.35907908 -47.53350000
0.39498701 -47.53340000
0.43089491 -47.53330000
0.46680281 -47.53320000
0.50271073 -47.53320000
0.53861864 -47.53330000
0.57452654 -47.53340000
0.61043446 -47.53350000
0.64634236 -47.53360000
0.68225027 -47.53370000
0.71815819 -47.53380000
0.75406609 -47.53390000
0.78997399 -47.53400000
0.82588191 -47.53400000
0.86178982 -47.53400000
0.86178982 -47.53400000
0.88652022 -47.53410000
0.91125063 -47.53420000
0.93598103 -47.53440000
0.96071142 -47.53480000
0.98544184 -47.53520000
1.01017223 -47.53560000
1.03490263 -47.53620000
1.05963304 -47.53690000
1.08436344 -47.53760000
1.10909384 -47.53840000
1.13382425 -47.53930000
1.15855465 -47.54020000
1.18328505 -47.54120000
1.20801546 -47.54230000
1.23274586 -47.54340000
1.25747626 -47.54460000
1.28220667 -47.54580000
1.30693707 -47.54700000
1.33166747 -47.54830000
1.35639788 -47.54970000
1.38112828 -47.55100000
1.40585868 -47.55230000
1.43058909 -47.55370000
1.45531949 -47.55510000
1.45531949 -47.55510000
1.49122739 -47.55500000
1.52713531 -47.55490000
1.56304321 -47.55460000
1.59895112 -47.55420000
1.63485904 -47.55370000
1.67076694 -47.55310000
1.70667484 -47.55240000
1.74258276 -47.55160000
1.77849067 -47.55080000
1.81439857 -47.55000000
1.85030649 -47.54910000
1.88621440 -47.54820000
1.92212230 -47.54720000
1.95803022 -47.54640000
1.99393812 -47.54550000
2.02984603 -47.54470000
2.06575395 -47.54390000
2.10166185 -47.54320000
2.13756975 -47.54260000
2.17347767 -47.54210000
2.20938558 -47.54170000
2.24529348 -47.54140000
2.28120140 -47.54130000
2.31710931 -47.54120000
2.31710931 -47.54120000
2.35301721 -47.54110000
2.38892513 -47.54100000
2.42483303 -47.54070000
2.46074094 -47.54030000
2.49664886 -47.53980000
2.53255676 -47.53920000
2.56846466 -47.53850000
2.60437258 -47.53780000
2.64028049 -47.53700000
2.67618839 -47.53610000
2.71209631 -47.53520000
2.74800421 -47.53440000
