#k-distance eigenvalue[eV]
0.00000000 -47.54720000
0.03590620 -47.54860000
0.07181241 -47.55020000
0.10771861 -47.55180000
0.14362480 -47.55350000
0.17953102 -47.55530000
0.21543721 -47.55720000
0.25134341 -47.55910000
0.28724962 -47.56100000
0.32315582 -47.56300000
0.35906201 -47.56490000
0.39496823 -47.56690000
0.43087442 -47.56880000
0.46678062 -47.57060000
0.50268683 -47.57230000
0.53859303 -47.57400000
0.57449923 -47.57550000
0.61040544 -47.57690000
0.64631163 -47.57810000
0.68221783 -47.57920000
0.71812404 -47.58010000
0.75403024 -47.58080000
0.78993644 -47.58130000
0.82584265 -47.58160000
0.86174885 -47.58170000
0.86174885 -47.58170000
0.88642790 -47.58160000
0.91110698 -47.58150000
0.93578603 -47.58130000
0.96046509 -47.58100000
0.98514416 -47.58060000
1.00982322 -47.58010000
1.03450228 -47.57960000
1.05918135 -47.57890000
1.08386041 -47.57820000
1.10853947 -47.57740000
1.13321854 -47.57660000
1.15789760 -47.57560000
1.18257665 -47.57470000
1.20725572 -47.57360000
1.23193478 -47.57250000
1.25661384 -47.57140000
1.28129291 -47.57020000
1.30597197 -47.56900000
1.33065103 -47.56770000
1.35533010 -47.56640000
1.38000916 -47.56510000
1.40468822 -47.56370000
1.42936729 -47.56240000
1.45404634 -47.56100000
1.45404634 -47.56100000
1.48995254 -47.56100000
1.52585875 -47.56080000
1.56176495 -47.56050000
1.59767115 -47.56010000
1.63357736 -47.55960000
1.66948356 -47.55900000
1.70538975 -47.55830000
1.74129596 -47.55760000
1.77720216 -47.55680000
1.81310836 -47.55590000
1.84901457 -47.55500000
1.88492077 -47.55410000
1.92082696 -47.55320000
1.95673317 -47.55230000
1.99263937 -47.55150000
2.02854557 -47.55070000
2.06445178 -47.54990000
2.10035798 -47.54920000
2.13626417 -47.54860000
2.17217039 -47.54810000
2.20807658 -47.54770000
2.24398278 -47.54740000
2.27988899 -47.54720000
2.31579519 -47.54720000
2.31579519 -47.54720000
2.35170138 -47.54710000
2.38760760 -47.54700000
2.42351379 -47.54670000
2.45941999 -47.54630000
2.49532620 -47.54580000
2.53123240 -47.54520000
2.56713859 -47.54450000
2.60304481 -47.54380000
2.63895100 -47.54300000
2.67485720 -47.54210000
2.71076341 -47.54120000
2.74666961 -47.54030000
2.78257581 -47.53950000
2.81848202 -47.53860000
2.85438822 -47.53770000
2.89029441 -47.53690000
2.92620062 -47.53620000
2.96210682 -47.53550000
2.99801302 -47.53490000
3.03391923 -47.53440000
3.06982543 -47.53400000
3.10573162 -47.53370000
3.14163784 -47.53360000
3.17754403 -47.53350000
3.17754403 -47.53350000
3.22832306 -47.53360000
3.27910212 -47.53400000
