#k-distance eigenvalue[eV]
0.00000000 -47.91180000
0.04929589 -47.91260000
0.09859181 -47.91340000
0.14788771 -47.91430000
0.19718360 -47.91500000
0.24647952 -47.91570000
0.29577541 -47.91640000
0.34507131 -47.91690000
0.39436722 -47.91740000
0.44366312 -47.91780000
0.49295901 -47.91810000
0.54225493 -47.91820000
0.59155082 -47.91830000
0.64084672 -47.91820000
0.69014264 -47.91810000
0.73943853 -47.91780000
0.78873442 -47.91740000
0.83803034 -47.91690000
0.88732624 -47.91640000
0.93662213 -47.91570000
0.98591805 -47.91500000
1.03521394 -47.91430000
1.08450984 -47.91340000
1.13380575 -47.91260000
1.18310165 -47.91180000
1.18310165 -47.93410000
1.21795911 -47.93400000
1.25281659 -47.93380000
1.28767405 -47.93350000
1.32253151 -47.93310000
1.35738899 -47.93250000
1.39224645 -47.93180000
1.42710391 -47.93100000
1.46196139 -47.93000000
1.49681885 -47.92900000
1.53167631 -47.92800000
1.56653379 -47.92680000
1.60139125 -47.92560000
1.63624871 -47.92440000
1.67110619 -47.92320000
1.70596365 -47.92190000
1.74082111 -47.92060000
1.77567859 -47.91940000
1.81053605 -47.91810000
1.84539351 -47.91690000
1.88025099 -47.91580000
1.91510845 -47.91470000
1.94996591 -47.91360000
1.98482339 -47.91260000
2.01968085 -47.91180000
2.01968085 -47.91180000
2.05453831 -47.91170000
2.08939579 -47.91160000
2.12425325 -47.91140000
2.15911071 -47.91110000
2.19396818 -47.91080000
2.22882565 -47.91040000
2.26368311 -47.90990000
2.29854058 -47.90940000
2.33339805 -47.90890000
2.36825551 -47.90830000
2.40311298 -47.90770000
2.43797045 -47.90710000
2.47282791 -47.90650000
2.50768538 -47.90590000
2.54254285 -47.90530000
2.57740031 -47.90480000
2.61225778 -47.90430000
2.64711525 -47.90380000
2.68197271 -47.90340000
2.71683018 -47.90310000
2.75168764 -47.90280000
2.78654511 -47.90260000
2.82140258 -47.90250000
2.85626004 -47.90250000
2.85626004 -47.90250000
2.90555594 -47.90260000
2.95485186 -47.90300000
3.00414775 -47.90370000
3.05344364 -47.90460000
3.10273956 -47.90570000
3.15203546 -47.90710000
3.20133135 -47.90870000
3.25062727 -47.91040000
3.29992316 -47.91230000
3.34921906 -47.91420000
3.39851497 -47.91620000
3.44781087 -47.91830000
3.49710676 -47.92040000
3.54640268 -47.92240000
3.59569857 -47.92440000
3.64499447 -47.92620000
3.69429039 -47.92790000
3.74358628 -47.92950000
3.79288217 -47.93080000
3.84217809 -47.93200000
3.89147399 -47.93290000
3.94076988 -47.93360000
3.99006580 -47.93400000
4.03936169 -47.93410000
4.03936169 -47.93410000
4.06345336 -47.93410000
4.08754503 -47.93400000
4.11163669 -47.93390000
4.13572835 -47.93370000
4.15982003 -47.93340000
4.18391169 -47.93310000
4.20800335 -47.93280000
4.23209503 -47.93240000
4.25618669 -47.93190000
4.28027835 -47.93140000
4.30437003 -47.93090000
4.32846169 -47.93030000
4.35255335 -47.92970000
