#k-distance eigenvalue[eV]
0.00000000 -47.55800000
0.03588672 -47.55940000
0.07177346 -47.56090000
0.10766017 -47.56250000
0.14354689 -47.56420000
0.17943363 -47.56600000
0.21532035 -47.56790000
0.25120707 -47.56980000
0.28709380 -47.57170000
0.32298052 -47.57360000
0.35886724 -47.57550000
0.39475398 -47.57740000
0.43064070 -47.57930000
0.46652742 -47.58110000
0.50241415 -47.58280000
0.53830087 -47.58450000
0.57418759 -47.58600000
0.61007433 -47.58730000
0.64596105 -47.58850000
0.68184777 -47.58960000
0.71773450 -47.59050000
0.75362122 -47.59120000
0.78950794 -47.59170000
0.82539468 -47.59200000
0.86128140 -47.59210000
0.86128140 -47.59210000
0.88593276 -47.59210000
0.91058414 -47.59190000
0.93523551 -47.59170000
0.95988687 -47.59140000
0.98453825 -47.59100000
1.00918962 -47.59050000
1.03384099 -47.59000000
1.05849237 -47.58940000
1.08314373 -47.58870000
1.10779510 -47.58790000
1.13244648 -47.58700000
1.15709785 -47.58610000
1.18174921 -47.58520000
1.20640059 -47.58410000
1.23105196 -47.58300000
1.25570332 -47.58190000
1.28035470 -47.58070000
1.30500607 -47.57950000
1.32965744 -47.57830000
1.35430882 -47.57700000
1.37896018 -47.57570000
1.40361155 -47.57440000
1.42826293 -47.57310000
1.45291429 -47.57170000
1.45291429 -47.57170000
1.48880101 -47.57170000
1.52468775 -47.57150000
1.56057447 -47.57120000
1.59646119 -47.57080000
1.63234792 -47.57030000
1.66823464 -47.56970000
1.70412136 -47.56900000
1.74000810 -47.56830000
1.77589482 -47.56750000
1.81178153 -47.56660000
1.84766827 -47.56580000
1.88355499 -47.56490000
1.91944171 -47.56400000
1.95532844 -47.56310000
1.99121516 -47.56220000
2.02710188 -47.56140000
2.06298862 -47.56070000
2.09887534 -47.56000000
2.13476205 -47.55940000
2.17064879 -47.55890000
2.20653551 -47.55850000
2.24242223 -47.55820000
2.27830896 -47.55810000
2.31419568 -47.55800000
2.31419568 -47.55800000
2.35008240 -47.55790000
2.38596914 -47.55780000
2.42185586 -47.55750000
2.45774258 -47.55710000
2.49362931 -47.55660000
2.52951603 -47.55600000
2.56540275 -47.55530000
2.60128949 -47.55460000
2.63717621 -47.55380000
2.67306293 -47.55300000
2.70894966 -47.55210000
2.74483638 -47.55120000
2.78072310 -47.55030000
2.81660984 -47.54950000
2.85249656 -47.54860000
2.88838327 -47.54780000
2.92427001 -47.54710000
2.96015673 -47.54640000
2.99604345 -47.54580000
3.03193018 -47.54530000
3.06781690 -47.54490000
3.10370362 -47.54470000
3.13959036 -47.54450000
3.17547708 -47.54440000
3.17547708 -47.54440000
3.22622856 -47.54450000
3.27698007 -47.54490000
3.32773156 -47.54550000
3.37848304 -47.54620000
3.42923455 -47.54720000
3.47998603 -47.54840000
3.53073752 -47.54980000
3.58148903 -47.55120000
3.63224051 -47.55280000
3.68299200 -47.55450000
3.73374351 -47.55630000
3.78449499 -47.55800000
3.83524648 -47.55980000
3.88599798 -47.56160000
3.93674947 -47.56330000
3.98750095 -47.56490000
4.03825246 -47.56640000
4.08900395 -47.56770000
4.13975543 -47.56890000
4.19050694 -47.56990000
4.24125843 -47.57070000
4.29200991 -47.57130000
4.34276142 -47.57160000
4.39351290 -47.57170000

0.00000000 -47.55800000
0.03588672 -47.55670000
0.07177346 -47.55560000
0.10766017 -47.55460000
0.14354689 -47.55360000
0.17943363 -47.55290000
0.21532035 -47.55220000
0.25120707 -47.55170000
0.28709380 -47.55120000
0.32298052 -47.55090000
0.35886724 -47.55070000
0.39475398 -47.55050000
0.43064070 -47.55040000
0.46652742 -47.55040000
0.50241415 -47.55040000
0.53830087 -47.55050000
0.57418759 -47.55060000
0.61007433 -47.55070000
0.64596105 -47.55080000
0.68184777 -47.55100000
0.71773450 -47.55110000
0.75362122 -47.55120000
0.78950794 -47.55120000
0.82539468 -47.55130000
0.86128140 -47.55130000
0.86128140 -47.55130000
0.88593276 -47.55130000
0.91058414 -47.55150000
0.93523551 -47.55170000
0.95988687 -47.55200000
0.98453825 -47.55240000
1.00918962 -47.55290000
1.03384099 -47.55340000
1.05849237 -47.55400000
1.08314373 -47.55470000
1.10779510 -47.55550000
1.13244648 -47.55640000
1.15709785 -47.55730000
1.18174921 -47.55830000
1.20640059 -47.55930000
1.23105196 -47.56040000
1.25570332 -47.56150000
1.28035470 -47.56270000
1.30500607 -47.56390000
1.32965744 -47.56520000
1.35430882 -47.56640000
1.37896018 -47.56770000
1.40361155 -47.56910000
1.42826293 -47.57040000
1.45291429 -47.57170000
1.45291429 -47.57170000
1.48880101 -47.57170000
1.52468775 -47.57150000
1.56057447 -47.57120000
1.59646119 -47.57080000
1.63234792 -47.57030000
1.66823464 -47.56970000
1.70412136 -47.56900000
1.74000810 -47.56830000
1.77589482 -47.56750000
1.81178153 -47.56660000
1.84766827 -47.56580000
1.88355499 -47.56490000
1.91944171 -47.56400000
1.95532844 -47.56310000
1.99121516 -47.56220000
2.02710188 -47.56140000
2.06298862 -47.56070000
2.09887534 -47.56000000
2.13476205 -47.55940000
2.17064879 -47.55890000
2.20653551 -47.55850000
2.24242223 -47.55820000
2.27830896 -47.55810000
2.31419568 -47.55800000
2.31419568 -47.55800000
2.35008240 -47.55790000
2.38596914 -47.55780000
2.42185586 -47.55750000
2.45774258 -47.55710000
2.49362931 -47.55660000
2.52951603 -47.55600000
2.56540275 -47.55530000
2.60128949 -47.55460000
2.63717621 -47.55380000
2.67306293 -47.55300000
2.70894966 -47.55210000
2.74483638 -47.55120000
2.78072310 -47.55030000
2.81660984 -47.54950000
2.85249656 -47.54860000
2.88838327 -47.54780000
2.92427001 -47.54710000
2.96015673 -47.54640000
2.99604345 -47.54580000
3.03193018 -47.54530000
3.06781690 -47.54490000
3.10370362 -47.54470000
3.13959036 -47.54450000
3.17547708 -47.54440000
3.17547708 -47.54440000
3.22622856 -47.54450000
3.27698007 -47.54490000
3.32773156 -47.54550000
3.37848304 -47.54620000
3.42923455 -47.54720000
3.47998603 -47.54840000
3.53073752 -47.54980000
3.58148903 -47.55120000
3.63224051 -47.55280000
3.68299200 -47.55450000
3.73374351 -47.55630000
3.78449499 -47.55800000
3.83524648 -47.55980000
3.88599798 -47.56160000
3.93674947 -47.56330000
3.98750095 -47.56490000
4.03825246 -47.56640000
4.08900395 -47.56770000
4.13975543 -47.56890000
4.19050694 -47.56990000
4.24125843 -47.57070000
4.29200991 -47.57130000
4.34276142 -47.57160000
4.39351290 -47.57170000

0.00000000 -25.98650000
0.03588672 -25.98740000
0.07177346 -25.98560000
0.10766017 -25.98100000
0.14354689 -25.97380000
0.17943363 -25.96400000
0.21532035 -25.95170000
0.25120707 -25.94710000
0.28709380 -25.95440000
0.32298052 -25.96600000
0.35886724 -25.97960000
0.39475398 -25.99410000
0.43064070 -26.00860000
0.46652742 -26.02280000
0.50241415 -26.03640000
0.53830087 -26.04920000
0.57418759 -26.06090000
0.61007433 -26.07160000
0.64596105 -26.08100000
0.68184777 -26.08920000
0.71773450 -26.09590000
0.75362122 -26.10120000
0.78950794 -26.10510000
0.82539468 -26.10740000
0.86128140 -26.10820000
0.86128140 -26.10820000
0.88593276 -26.10770000
0.91058414 -26.10620000
0.93523551 -26.10370000
0.95988687 -26.10020000
0.98453825 -26.09580000
1.00918962 -26.09040000
1.03384099 -26.08410000
1.05849237 -26.07680000
1.08314373 -26.06870000
1.10779510 -26.05960000
1.13244648 -26.04980000
1.15709785 -26.03910000
1.18174921 -26.02770000
1.20640059 -26.01550000
1.23105196 -26.00260000
1.25570332 -25.98900000
1.28035470 -25.97490000
1.30500607 -25.96020000
1.32965744 -25.94500000
1.35430882 -25.92930000
1.37896018 -25.91330000
1.40361155 -25.89690000
1.42826293 -25.88030000
1.45291429 -25.86350000
1.45291429 -25.86350000
1.48880101 -25.86450000
1.52468775 -25.86750000
