#k-distance eigenvalue[eV]
0.00000000 -47.66390000
0.05027205 -47.66510000
0.10054413 -47.66620000
0.15081618 -47.66740000
0.20108823 -47.66840000
0.25136030 -47.66940000
0.30163235 -47.67030000
0.35190440 -47.67110000
0.40217648 -47.67180000
0.45244853 -47.67230000
0.50272058 -47.67270000
0.55299265 -47.67300000
0.60326470 -47.67300000
0.65353675 -47.67300000
0.70380883 -47.67270000
0.75408088 -47.67230000
0.80435293 -47.67180000
0.85462500 -47.67110000
0.90489705 -47.67030000
0.95516910 -47.66940000
1.00544118 -47.66840000
1.05571323 -47.66740000
1.10598528 -47.66620000
1.15625735 -47.66510000
1.20652940 -47.66390000
1.20652940 -47.69420000
1.24207711 -47.69410000
1.27762484 -47.69380000
1.31317254 -47.69330000
1.34872025 -47.69270000
1.38426798 -47.69190000
1.41981568 -47.69100000
1.45536339 -47.68990000
1.49091112 -47.68870000
1.52645882 -47.68740000
1.56200653 -47.68590000
1.59755426 -47.68440000
1.63310197 -47.68280000
1.66864967 -47.68120000
1.70419740 -47.67950000
1.73974511 -47.67770000
1.77529281 -47.67600000
1.81084054 -47.67430000
1.84638825 -47.67260000
1.88193595 -47.67100000
1.91748368 -47.66940000
1.95303139 -47.66790000
1.98857909 -47.66650000
2.02412682 -47.66510000
2.05967453 -47.66390000
2.05967453 -47.66390000
2.09522223 -47.66380000
2.13076996 -47.66370000
2.16631767 -47.66340000
2.20186537 -47.66310000
2.23741310 -47.66260000
2.27296081 -47.66210000
2.30850852 -47.66150000
2.34405624 -47.66090000
2.37960395 -47.66020000
2.41515166 -47.65940000
2.45069938 -47.65870000
2.48624709 -47.65790000
2.52179480 -47.65710000
2.55734252 -47.65630000
2.59289023 -47.65560000
2.62843794 -47.65490000
2.66398566 -47.65420000
2.69953337 -47.65360000
2.73508108 -47.65310000
2.77062880 -47.65270000
2.80617651 -47.65230000
2.84172422 -47.65210000
2.87727194 -47.65190000
2.91281965 -47.65190000
2.91281965 -47.65190000
2.96309170 -47.65210000
3.01336377 -47.65260000
3.06363582 -47.65350000
3.11390788 -47.65470000
3.16417995 -47.65630000
3.21445200 -47.65810000
3.26472405 -47.66020000
3.31499613 -47.66250000
3.36526818 -47.66490000
3.41554023 -47.66760000
3.46581230 -47.67030000
3.51608435 -47.67300000
3.56635640 -47.67580000
3.61662848 -47.67850000
3.66690053 -47.68110000
3.71717258 -47.68360000
3.76744465 -47.68590000
3.81771670 -47.68800000
3.86798875 -47.68980000
3.91826083 -47.69130000
3.96853288 -47.69260000
4.01880493 -47.69340000
4.06907700 -47.69400000
4.11934905 -47.69420000
4.11934905 -47.69420000
4.14391778 -47.69410000
4.16848652 -47.69400000
4.19305524 -47.69380000
4.21762397 -47.69350000
4.24219270 -47.69320000
4.26676143 -47.69280000
4.29133015 -47.69230000
4.31589889 -47.69170000
4.34046761 -47.69110000
4.36503634 -47.69040000
