#k-distance eigenvalue[eV]
0.00000000 -47.53140000
0.03590318 -47.53280000
0.07180639 -47.53440000
0.10770957 -47.53610000
0.14361276 -47.53790000
0.17951596 -47.53970000
0.21541914 -47.54160000
0.25132233 -47.54360000
0.28722553 -47.54560000
0.32312872 -47.54760000
0.35903190 -47.54960000
0.39493510 -47.55160000
0.43083829 -47.55350000
0.46674147 -47.55540000
0.50264467 -47.55710000
0.53854786 -47.55880000
0.57445104 -47.56040000
0.61035425 -47.56180000
0.64625743 -47.56300000
0.68216062 -47.56410000
0.71806382 -47.56500000
0.75396700 -47.56570000
0.78987019 -47.56630000
0.82577339 -47.56660000
0.86167657 -47.56670000
0.86167657 -47.56670000
0.88649099 -47.56660000
0.91130541 -47.56650000
0.93611982 -47.56630000
0.96093424 -47.56590000
0.98574866 -47.56550000
1.01056307 -47.56500000
1.03537748 -47.56450000
1.06019191 -47.56380000
1.08500632 -47.56310000
1.10982073 -47.56220000
1.13463516 -47.56130000
1.15944957 -47.56040000
1.18426398 -47.55940000
1.20907841 -47.55830000
1.23389282 -47.55710000
1.25870723 -47.55590000
1.28352166 -47.55470000
1.30833607 -47.55340000
1.33315048 -47.55210000
1.35796490 -47.55080000
1.38277932 -47.54940000
1.40759373 -47.54800000
1.43240815 -47.54660000
1.45722257 -47.54520000
1.45722257 -47.54520000
1.49312575 -47.54510000
1.52902895 -47.54500000
1.56493214 -47.54470000
1.60083532 -47.54430000
1.63673852 -47.54380000
1.67264171 -47.54320000
1.70854489 -47.54250000
1.74444810 -47.54170000
1.78035128 -47.54090000
1.81625447 -47.54010000
1.85215767 -47.53920000
1.88806085 -47.53830000
1.92396404 -47.53740000
1.95986724 -47.53650000
1.99577043 -47.53560000
2.03167361 -47.53480000
2.06757681 -47.53400000
2.10348000 -47.53340000
2.13938318 -47.53280000
2.17528638 -47.53230000
2.21118957 -47.53190000
2.24709275 -47.53160000
2.28299596 -47.53140000
2.31889914 -47.53130000
2.31889914 -47.53130000
2.35480233 -47.53130000
2.39070553 -47.53110000
2.42660871 -47.53080000
2.46251190 -47.53040000
2.49841510 -47.52990000
2.53431828 -47.52930000
2.57022147 -47.52870000
2.60612467 -47.52790000
2.64202786 -47.52710000
2.67793104 -47.52630000
2.71383424 -47.52540000
2.74973743 -47.52450000
2.78564061 -47.52360000
2.82154381 -47.52270000
2.85744700 -47.52190000
2.89335018 -47.52110000
2.92925339 -47.52030000
2.96515657 -47.51960000
3.00105976 -47.51900000
3.03696296 -47.51850000
3.07286614 -47.51810000
3.10876933 -47.51790000
3.14467253 -47.51770000
3.18057571 -47.51760000
3.18057571 -47.51760000
3.23135049 -47.51770000
3.28212528 -47.51810000
3.33290005 -47.51870000
3.38367482 -47.51950000
3.43444962 -47.52050000
3.48522439 -47.52160000
3.53599916 -47.52300000
3.58677396 -47.52450000
3.63754873 -47.52610000
3.68832350 -47.52780000
3.73909829 -47.52960000
3.78987306 -47.53140000
3.84064783 -47.53320000
3.89142263 -47.53500000
3.94219740 -47.53670000
3.99297217 -47.53830000
4.04374697 -47.53980000
4.09452174 -47.54110000
4.14529651 -47.54230000
4.19607130 -47.54330000
4.24684608 -47.54410000
4.29762085 -47.54470000
4.34839564 -47.54510000
4.39917041 -47.54520000

0.00000000 -47.53140000
0.03590318 -47.53000000
0.07180639 -47.52880000
0.10770957 -47.52770000
0.14361276 -47.52670000
0.17951596 -47.52590000
0.21541914 -47.52510000
0.25132233 -47.52450000
0.28722553 -47.52400000
0.32312872 -47.52370000
0.35903190 -47.52340000
0.39493510 -47.52320000
0.43083829 -47.52300000
0.46674147 -47.52300000
0.50264467 -47.52300000
0.53854786 -47.52300000
0.57445104 -47.52310000
0.61035425 -47.52320000
0.64625743 -47.52330000
0.68216062 -47.52340000
0.71806382 -47.52350000
0.75396700 -47.52360000
0.78987019 -47.52360000
0.82577339 -47.52370000
0.86167657 -47.52370000
0.86167657 -47.52370000
0.88649099 -47.52370000
0.91130541 -47.52380000
0.93611982 -47.52410000
0.96093424 -47.52440000
0.98574866 -47.52480000
1.01056307 -47.52530000
1.03537748 -47.52590000
1.06019191 -47.52660000
1.08500632 -47.52730000
1.10982073 -47.52810000
1.13463516 -47.52900000
1.15944957 -47.53000000
1.18426398 -47.53100000
1.20907841 -47.53210000
1.23389282 -47.53320000
1.25870723 -47.53440000
1.28352166 -47.53570000
1.30833607 -47.53700000
1.33315048 -47.53830000
1.35796490 -47.53960000
1.38277932 -47.54100000
1.40759373 -47.54240000
1.43240815 -47.54380000
1.45722257 -47.54520000
1.45722257 -47.54520000
1.49312575 -47.54510000
1.52902895 -47.54500000
1.56493214 -47.54470000
1.60083532 -47.54430000
1.63673852 -47.54380000
1.67264171 -47.54320000
1.70854489 -47.54250000
1.74444810 -47.54170000
1.78035128 -47.54090000
1.81625447 -47.54010000
1.85215767 -47.53920000
1.88806085 -47.53830000
1.92396404 -47.53740000
1.95986724 -47.53650000
1.99577043 -47.53560000
2.03167361 -47.53480000
2.06757681 -47.53400000
2.10348000 -47.53340000
2.13938318 -47.53280000
2.17528638 -47.53230000
2.21118957 -47.53190000
2.24709275 -47.53160000
2.28299596 -47.53140000
2.31889914 -47.53130000
2.31889914 -47.53130000
2.35480233 -47.53130000
2.39070553 -47.53110000
2.42660871 -47.53080000
2.46251190 -47.53040000
2.49841510 -47.52990000
2.53431828 -47.52930000
2.57022147 -47.52870000
2.60612467 -47.52790000
2.64202786 -47.52710000
2.67793104 -47.52630000
2.71383424 -47.52540000
2.74973743 -47.52450000
2.78564061 -47.52360000
2.82154381 -47.52270000
2.85744700 -47.52190000
2.89335018 -47.52110000
2.92925339 -47.52030000
2.96515657 -47.51960000
3.00105976 -47.51900000
3.03696296 -47.51850000
3.07286614 -47.51810000
3.10876933 -47.51790000
3.14467253 -47.51770000
3.18057571 -47.51760000
3.18057571 -47.51760000
3.23135049 -47.51770000
3.28212528 -47.51810000
3.33290005 -47.51870000
3.38367482 -47.51950000
3.43444962 -47.52050000
3.48522439 -47.52160000
3.53599916 -47.52300000
3.58677396 -47.52450000
3.63754873 -47.52610000
3.68832350 -47.52780000
3.73909829 -47.52960000
3.78987306 -47.53140000
3.84064783 -47.53320000
3.89142263 -47.53500000
3.94219740 -47.53670000
3.99297217 -47.53830000
4.04374697 -47.53980000
4.09452174 -47.54110000
4.14529651 -47.54230000
4.19607130 -47.54330000
4.24684608 -47.54410000
4.29762085 -47.54470000
4.34839564 -47.54510000
4.39917041 -47.54520000

0.00000000 -25.96610000
0.03590318 -25.96720000
0.07180639 -25.96550000
0.10770957 -25.96100000
0.14361276 -25.95380000
0.17951596 -25.94400000
0.21541914 -25.93170000
0.25132233 -25.92640000
0.28722553 -25.93470000
0.32312872 -25.94720000
0.35903190 -25.96170000
0.39493510 -25.97680000
0.43083829 -25.99200000
0.46674147 -26.00680000
0.50264467 -26.02090000
0.53854786 -26.03410000
0.57445104 -26.04630000
0.61035425 -26.05740000
0.64625743 -26.06710000
0.68216062 -26.07550000
0.71806382 -26.08250000
0.75396700 -26.08800000
0.78987019 -26.09200000
0.82577339 -26.09440000
0.86167657 -26.09520000
0.86167657 -26.09520000
0.88649099 -26.09460000
0.91130541 -26.09310000
0.93611982 -26.09060000
0.96093424 -26.08700000
0.98574866 -26.08240000
1.01056307 -26.07690000
1.03537748 -26.07030000
1.06019191 -26.06280000
1.08500632 -26.05440000
1.10982073 -26.04510000
1.13463516 -26.03490000
1.15944957 -26.02390000
1.18426398 -26.01210000
1.20907841 -25.99950000
1.23389282 -25.98610000
1.25870723 -25.97220000
1.28352166 -25.95750000
1.30833607 -25.94230000
1.33315048 -25.92660000
1.35796490 -25.91040000
1.38277932 -25.89380000
1.40759373 -25.87690000
1.43240815 -25.85970000
1.45722257 -25.84220000
1.45722257 -25.84220000
1.49312575 -25.84330000
1.52902895 -25.84640000
1.56493214 -25.85170000
1.60083532 -25.85900000
1.63673852 -25.86820000
1.67264171 -25.87940000
1.70854489 -25.89230000
1.74444810 -25.90670000
1.78035128 -25.92240000
1.81625447 -25.93910000
1.85215767 -25.95630000
1.88806085 -25.97390000
1.92396404 -25.99130000
1.95986724 -26.00830000
1.99577043 -26.02440000
2.03167361 -26.03930000
2.06757681 -26.05280000
2.10348000 -26.06440000
2.13938318 -26.07400000
2.17528638 -26.08140000
2.21118957 -26.08630000
2.24709275 -26.08870000
2.28299596 -26.08850000
2.31889914 -26.08550000
2.31889914 -26.08550000
2.35480233 -26.08500000
2.39070553 -26.08350000
2.42660871 -26.08100000
2.46251190 -26.07750000
2.49841510 -26.07300000
2.53431828 -26.06770000
2.57022147 -26.06160000
2.60612467 -26.05470000
2.64202786 -26.04710000
2.67793104 -26.03900000
2.71383424 -26.03040000
2.74973743 -26.02140000
2.78564061 -26.01220000
2.82154381 -26.00290000
2.85744700 -25.99370000
2.89335018 -25.98470000
2.92925339 -25.97610000
2.96515657 -25.96810000
3.00105976 -25.96090000
3.03696296 -25.95460000
3.07286614 -25.94950000
3.10876933 -25.94570000
3.14467253 -25.94340000
3.18057571 -25.94260000
3.18057571 -25.94260000
3.23135049 -25.94270000
3.28212528 -25.94300000
3.33290005 -25.94340000
3.38367482 -25.94370000
3.43444962 -25.94370000
3.48522439 -25.94310000
3.53599916 -25.94190000
3.58677396 -25.93980000
3.63754873 -25.93680000
3.68832350 -25.93280000
3.73909829 -25.92770000
3.78987306 -25.92160000
3.84064783 -25.91450000
3.89142263 -25.90680000
3.94219740 -25.89840000
3.99297217 -25.88970000
4.04374697 -25.88080000
4.09452174 -25.87220000
4.14529651 -25.86400000
4.19607130 -25.85680000
4.24684608 -25.85070000
4.29762085 -25.84610000
4.34839564 -25.84320000
4.39917041 -25.84220000

0.00000000 -25.96610000
0.03590318 -25.96240000
0.07180639 -25.95620000
0.10770957 -25.94810000
0.14361276 -25.93880000
0.17951596 -25.93010000
0.21541914 -25.92490000
0.25132233 -25.91720000
0.28722553 -25.90070000
0.32312872 -25.88240000
0.35903190 -25.86280000
0.39493510 -25.84200000
0.43083829 -25.82040000
0.46674147 -25.79850000
0.50264467 -25.77660000
0.53854786 -25.75510000
0.57445104 -25.73430000
0.61035425 -25.71470000
0.64625743 -25.69660000
0.68216062 -25.68030000
0.71806382 -25.66620000
