#k-distance eigenvalue[eV]
0.00000000 -47.53720000
0.05077477 -47.53860000
0.10154957 -47.54000000
0.15232434 -47.54130000
0.20309911 -47.54260000
0.25387390 -47.54370000
0.30464867 -47.54480000
0.35542345 -47.54570000
0.40619824 -47.54650000
0.45697301 -47.54720000
0.50774778 -47.54760000
0.55852258 -47.54790000
0.60929735 -47.54800000
0.66007212 -47.54790000
0.71084692 -47.54760000
0.76162169 -47.54720000
0.81239646 -47.54650000
0.86317125 -47.54570000
0.91394602 -47.54480000
0.96472079 -47.54370000
1.01549559 -47.54260000
1.06627036 -47.54130000
1.11704513 -47.54000000
1.16781993 -47.53860000
1.21859470 -47.53720000
1.21859470 -47.57250000
1.25449788 -47.57240000
1.29040108 -47.57210000
1.32630427 -47.57150000
1.36220745 -47.57080000
1.39811066 -47.56990000
1.43401384 -47.56880000
1.46991703 -47.56760000
1.50582023 -47.56620000
1.54172341 -47.56460000
1.57762660 -47.56290000
1.61352980 -47.56120000
1.64943298 -47.55930000
1.68533617 -47.55740000
1.72123937 -47.55540000
1.75714256 -47.55340000
1.79304574 -47.55140000
1.82894894 -47.54940000
1.86485213 -47.54740000
1.90075531 -47.54550000
1.93665852 -47.54370000
1.97256170 -47.54190000
2.00846488 -47.54020000
2.04436809 -47.53860000
2.08027127 -47.53720000
2.08027127 -47.53720000
2.11617446 -47.53710000
2.15207766 -47.53690000
2.18798084 -47.53660000
2.22388403 -47.53620000
2.25978723 -47.53570000
2.29569042 -47.53520000
2.33159360 -47.53450000
2.36749680 -47.53370000
2.40339999 -47.53290000
2.43930317 -47.53210000
2.47520637 -47.53120000
2.51110956 -47.53030000
2.54701274 -47.52940000
2.58291595 -47.52850000
2.61881913 -47.52770000
2.65472232 -47.52690000
2.69062552 -47.52610000
2.72652870 -47.52550000
2.76243189 -47.52490000
2.79833509 -47.52440000
2.83423827 -47.52400000
2.87014146 -47.52370000
2.90604466 -47.52350000
2.94194785 -47.52340000
2.94194785 -47.52340000
2.99272262 -47.52370000
3.04349741 -47.52430000
3.09427218 -47.52530000
3.14504695 -47.52670000
3.19582175 -47.52850000
3.24659652 -47.53060000
3.29737129 -47.53300000
3.34814609 -47.53570000
3.39892086 -47.53860000
3.44969563 -47.54160000
3.50047042 -47.54480000
3.55124519 -47.54800000
3.60201997 -47.55120000
3.65279476 -47.55430000
3.70356953 -47.55740000
3.75434430 -47.56020000
3.80511910 -47.56290000
3.85589387 -47.56530000
3.90666864 -47.56740000
3.95744344 -47.56920000
4.00821821 -47.57060000
4.05899298 -47.57160000
4.10976777 -47.57230000
4.16054254 -47.57250000
4.16054254 -47.57250000
4.18535696 -47.57240000
4.21017138 -47.57230000
4.23498579 -47.57210000
4.25980020 -47.57170000
4.28461463 -47.57130000
4.30942904 -47.57080000
4.33424345 -47.57030000
4.35905788 -47.56960000
4.38387229 -47.56890000
4.40868670 -47.56800000
4.43350113 -47.56710000
4.45831554 -47.56620000
4.48312995 -47.56520000
4.50794438 -47.56410000
4.53275879 -47.56290000
4.55757320 -47.56170000
4.58238763 -47.56050000
4.60720204 -47.55920000
4.63201645 -47.55790000
4.65683087 -47.55660000
4.68164529 -47.55520000
4.70645970 -47.55380000
4.73127412 -47.55240000
4.75608854 -47.55100000
4.75608854 -47.55100000
4.80686331 -47.55090000
4.85763810 -47.55050000
4.90841287 -47.54990000
4.95918764 -47.54910000
5.00996244 -47.54810000
5.06073721 -47.54690000
5.11151198 -47.54560000
5.16228678 -47.54410000
5.21306155 -47.54250000
5.26383632 -47.54080000
5.31461111 -47.53900000
5.36538588 -47.53720000
5.41616066 -47.53540000
5.46693545 -47.53360000
5.51771022 -47.53190000
5.56848499 -47.53030000
5.61925979 -47.52880000
5.67003456 -47.52740000
5.72080933 -47.52630000
5.77158413 -47.52530000
5.82235890 -47.52450000
5.87313367 -47.52390000
5.92390846 -47.52350000
5.97468323 -47.52340000
5.97468323 -47.52340000
5.99949765 -47.52340000
6.02431207 -47.52340000
6.04912648 -47.52340000
6.07394089 -47.52340000
6.09875532 -47.52340000
6.12356973 -47.52340000
6.14838414 -47.52340000
6.17319857 -47.52340000
6.19801298 -47.52340000
6.22282739 -47.52340000
6.24764182 -47.52340000
6.27245623 -47.52340000
6.29727064 -47.52340000
6.32208507 -47.52340000
6.34689948 -47.52340000
6.37171389 -47.52340000
6.39652832 -47.52340000
6.42134273 -47.52340000
6.44615714 -47.52340000
6.47097156 -47.52340000
6.49578598 -47.52340000
6.52060039 -47.52340000
6.54541481 -47.52340000
6.57022923 -47.52340000
6.57022923 -47.55100000
6.60613241 -47.55090000
6.64203561 -47.55080000
6.67793880 -47.55050000
6.71384198 -47.55010000
6.74974518 -47.54960000
6.78564837 -47.54900000
6.82155155 -47.54830000
6.85745476 -47.54750000
6.89335794 -47.54670000
6.92926113 -47.54590000
6.96516433 -47.54500000
7.00106751 -47.54410000
7.03697070 -47.54320000
7.07287390 -47.54230000
7.10877708 -47.54140000
7.14468027 -47.54060000
7.18058347 -47.53980000
7.21648666 -47.53920000
7.25238984 -47.53860000
7.28829304 -47.53810000
7.32419623 -47.53770000
7.36009941 -47.53740000
7.39600261 -47.53720000
7.43190580 -47.53710000

0.00000000 -47.53720000
0.05077477 -47.53580000
0.10154957 -47.53440000
0.15232434 -47.53300000
0.20309911 -47.53180000
