Vol#mass#value#bandno#spin#from#fname#to#toname
76.62#m_h#-7.188#24#(down)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
76.62#m_e#0.623#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.00, 0.00]#(X)
76.62#m_e#0.659#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.50, 0.00]#(M)
76.62#m_e#2.490#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.00, 0.00, 0.50]#(Z)
78.88#m_h#-3.086#24#(up)#[0.27, 0.27, 0.00]##[0.00, 0.00, 0.00]#(\Gamma)
78.88#m_h#-1.487#24#(up)#[0.27, 0.27, 0.00]##[0.50, 0.50, 0.00]#(M)
78.88#m_e#0.625#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.00, 0.00]#(X)
78.88#m_e#0.659#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.50, 0.00]#(M)
78.88#m_e#2.595#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.00, 0.00, 0.50]#(Z)
81.17#m_h#-2.234#24#(up)#[0.27, 0.27, 0.00]##[0.00, 0.00, 0.00]#(\Gamma)
81.17#m_h#-1.968#24#(up)#[0.27, 0.27, 0.00]##[0.50, 0.50, 0.00]#(M)
81.17#m_e#0.619#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.00, 0.00]#(X)
81.17#m_e#0.653#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.50, 0.00]#(M)
81.17#m_e#2.700#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.00, 0.00, 0.50]#(Z)
Vol#mass#value#bandno#spin#from#fname#to#toname
70.12#m_h#-11.428#24#(up)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
70.12#m_h#-11.428#24#(up)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
70.12#m_h#-11.428#24#(down)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
70.12#m_h#-11.428#24#(down)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
70.12#m_e#1.377#25#(up)#[0.00, 0.50, 0.00]# (X')#[0.50, 0.00, 0.00]#(X)
70.12#m_e#1.189#26#(up)#[0.00, 0.50, 0.00]# (X')#[0.50, 0.00, 0.00]#(X)
