#k-distance eigenvalue[eV]
0.00000000 -48.40380000
0.04745306 -48.40420000
0.09490614 -48.40460000
0.14235919 -48.40510000
0.18981225 -48.40550000
0.23726533 -48.40580000
0.28471839 -48.40620000
0.33217144 -48.40640000
0.37962452 -48.40670000
0.42707758 -48.40690000
0.47453064 -48.40700000
0.52198372 -48.40710000
0.56943677 -48.40710000
0.61688983 -48.40710000
0.66434291 -48.40700000
0.71179597 -48.40690000
0.75924903 -48.40670000
0.80670210 -48.40640000
0.85415516 -48.40620000
0.90160822 -48.40580000
0.94906130 -48.40550000
0.99651436 -48.40510000
1.04396741 -48.40460000
1.09142049 -48.40420000
1.13887355 -48.40380000
1.13887355 -48.41600000
1.17242793 -48.41600000
1.20598232 -48.41590000
1.23953670 -48.41570000
1.27309108 -48.41540000
1.30664547 -48.41510000
1.34019985 -48.41470000
1.37375423 -48.41420000
1.40730862 -48.41370000
1.44086300 -48.41320000
1.47441738 -48.41260000
1.50797178 -48.41190000
1.54152615 -48.41130000
1.57508053 -48.41060000
1.60863493 -48.40990000
1.64218931 -48.40920000
1.67574368 -48.40850000
1.70929808 -48.40780000
1.74285246 -48.40720000
1.77640683 -48.40650000
1.80996123 -48.40590000
1.84351561 -48.40530000
1.87706999 -48.40470000
1.91062438 -48.40420000
1.94417876 -48.40380000
1.94417876 -48.40380000
1.97773314 -48.40380000
2.01128753 -48.40370000
2.04484191 -48.40360000
2.07839629 -48.40340000
2.11195068 -48.40320000
2.14550506 -48.40300000
2.17905944 -48.40270000
2.21261383 -48.40240000
2.24616821 -48.40210000
2.27972259 -48.40170000
2.31327699 -48.40140000
2.34683136 -48.40100000
2.38038574 -48.40070000
2.41394014 -48.40030000
2.44749451 -48.40000000
2.48104889 -48.39960000
2.51460329 -48.39930000
2.54815767 -48.39910000
2.58171204 -48.39880000
2.61526644 -48.39860000
2.64882082 -48.39850000
2.68237520 -48.39840000
2.71592959 -48.39830000
2.74948397 -48.39830000
2.74948397 -48.39830000
2.79693703 -48.39830000
2.84439010 -48.39860000
2.89184316 -48.39890000
2.93929622 -48.39950000
2.98674930 -48.40010000
3.03420236 -48.40090000
3.08165541 -48.40170000
3.12910849 -48.40270000
