#k-distance eigenvalue[eV]
0.00000000 -47.37620000
0.03701359 -47.37860000
0.07402720 -47.38120000
0.11104080 -47.38390000
0.14805439 -47.38680000
0.18506800 -47.38980000
0.22208159 -47.39290000
0.25909518 -47.39610000
0.29610879 -47.39930000
0.33312239 -47.40250000
0.37013598 -47.40570000
0.40714959 -47.40880000
0.44416318 -47.41190000
0.48117678 -47.41490000
0.51819039 -47.41770000
0.55520398 -47.42040000
0.59221757 -47.42280000
0.62923118 -47.42510000
0.66624477 -47.42710000
0.70325837 -47.42880000
0.74027198 -47.43020000
0.77728557 -47.43130000
0.81429916 -47.43220000
0.85131277 -47.43270000
0.88832637 -47.43280000
0.88832637 -47.43280000
0.91390823 -47.43280000
0.93949011 -47.43250000
0.96507198 -47.43220000
0.99065385 -47.43160000
1.01623573 -47.43100000
1.04181760 -47.43010000
1.06739947 -47.42920000
1.09298135 -47.42810000
1.11856322 -47.42690000
1.14414509 -47.42550000
1.16972697 -47.42410000
1.19530884 -47.42250000
1.22089070 -47.42080000
1.24647258 -47.41900000
1.27205445 -47.41720000
1.29763632 -47.41520000
1.32321820 -47.41320000
1.34880007 -47.41100000
1.37438194 -47.40890000
1.39996382 -47.40670000
1.42554569 -47.40440000
1.45112756 -47.40210000
1.47670944 -47.39980000
1.50229131 -47.39750000
1.50229131 -47.39750000
1.53930490 -47.39740000
1.57631851 -47.39710000
1.61333210 -47.39670000
1.65034569 -47.39610000
1.68735930 -47.39530000
1.72437290 -47.39440000
1.76138649 -47.39330000
1.79840010 -47.39220000
1.83541369 -47.39090000
1.87242729 -47.38960000
1.90944090 -47.38820000
1.94645449 -47.38680000
1.98346808 -47.38540000
2.02048169 -47.38400000
2.05749528 -47.38270000
2.09450888 -47.38150000
2.13152249 -47.38030000
2.16853608 -47.37920000
2.20554967 -47.37830000
2.24256328 -47.37750000
2.27957687 -47.37690000
2.31659047 -47.37640000
2.35360408 -47.37620000
2.39061767 -47.37610000
2.39061767 -47.37610000
2.42763126 -47.37600000
2.46464487 -47.37570000
2.50165847 -47.37530000
2.53867206 -47.37470000
2.57568567 -47.37390000
2.61269926 -47.37300000
2.64971285 -47.37200000
2.68672646 -47.37080000
2.72374006 -47.36960000
2.76075365 -47.36830000
2.79776726 -47.36690000
2.83478085 -47.36560000
2.87179445 -47.36420000
2.90880806 -47.36280000
2.94582165 -47.36150000
2.98283524 -47.36030000
3.01984885 -47.35910000
3.05686244 -47.35810000
3.09387604 -47.35720000
3.13088965 -47.35640000
3.16790324 -47.35580000
3.20491683 -47.35540000
3.24193044 -47.35510000
3.27894404 -47.35500000
3.27894404 -47.35500000
3.33128916 -47.35520000
3.38363431 -47.35570000
3.43597943 -47.35660000
3.48832456 -47.35780000
3.54066971 -47.35940000
3.59301483 -47.36120000
3.64535996 -47.36330000
3.69770511 -47.36560000
3.75005023 -47.36810000
3.80239536 -47.37070000
3.85474051 -47.37340000
3.90708563 -47.37620000
3.95943076 -47.37900000
4.01177591 -47.38170000
4.06412103 -47.38440000
4.11646616 -47.38680000
4.16881131 -47.38920000
4.22115643 -47.39130000
4.27350156 -47.39310000
4.32584671 -47.39460000
4.37819183 -47.39590000
4.43053695 -47.39680000
4.48288210 -47.39730000
4.53522723 -47.39750000

0.00000000 -47.37620000
0.03701359 -47.37390000
0.07402720 -47.37190000
0.11104080 -47.37000000
0.14805439 -47.36840000
0.18506800 -47.36690000
0.22208159 -47.36570000
0.25909518 -47.36460000
0.29610879 -47.36370000
0.33312239 -47.36300000
0.37013598 -47.36240000
0.40714959 -47.36200000
0.44416318 -47.36170000
0.48117678 -47.36150000
0.51819039 -47.36140000
0.55520398 -47.36140000
0.59221757 -47.36140000
0.62923118 -47.36150000
0.66624477 -47.36160000
0.70325837 -47.36170000
0.74027198 -47.36180000
0.77728557 -47.36190000
0.81429916 -47.36190000
0.85131277 -47.36200000
0.88832637 -47.36200000
0.88832637 -47.36200000
0.91390823 -47.36210000
0.93949011 -47.36230000
0.96507198 -47.36270000
0.99065385 -47.36320000
1.01623573 -47.36390000
1.04181760 -47.36470000
1.06739947 -47.36570000
1.09298135 -47.36680000
1.11856322 -47.36800000
1.14414509 -47.36940000
1.16972697 -47.37080000
1.19530884 -47.37240000
1.22089070 -47.37410000
1.24647258 -47.37590000
1.27205445 -47.37780000
1.29763632 -47.37980000
1.32321820 -47.38180000
1.34880007 -47.38390000
1.37438194 -47.38610000
1.39996382 -47.38830000
1.42554569 -47.39060000
1.45112756 -47.39290000
1.47670944 -47.39520000
1.50229131 -47.39750000
1.50229131 -47.39750000
1.53930490 -47.39740000
1.57631851 -47.39710000
1.61333210 -47.39670000
1.65034569 -47.39610000
1.68735930 -47.39530000
1.72437290 -47.39440000
1.76138649 -47.39330000
1.79840010 -47.39220000
1.83541369 -47.39090000
1.87242729 -47.38960000
1.90944090 -47.38820000
1.94645449 -47.38680000
1.98346808 -47.38540000
2.02048169 -47.38400000
2.05749528 -47.38270000
2.09450888 -47.38140000
2.13152249 -47.38030000
2.16853608 -47.37920000
2.20554967 -47.37830000
2.24256328 -47.37750000
2.27957687 -47.37690000
2.31659047 -47.37640000
2.35360408 -47.37620000
2.39061767 -47.37610000
2.39061767 -47.37610000
2.42763126 -47.37600000
2.46464487 -47.37570000
2.50165847 -47.37530000
2.53867206 -47.37470000
2.57568567 -47.37390000
2.61269926 -47.37300000
2.64971285 -47.37200000
2.68672646 -47.37080000
2.72374006 -47.36960000
2.76075365 -47.36830000
2.79776726 -47.36690000
2.83478085 -47.36550000
2.87179445 -47.36420000
2.90880806 -47.36280000
2.94582165 -47.36150000
2.98283524 -47.36030000
3.01984885 -47.35910000
3.05686244 -47.35810000
3.09387604 -47.35720000
3.13088965 -47.35640000
