#k-distance eigenvalue[eV]
0.00000000 -47.54090000
0.03590721 -47.54230000
0.07181444 -47.54390000
0.10772165 -47.54550000
0.14362886 -47.54730000
0.17953609 -47.54910000
0.21544330 -47.55100000
0.25135051 -47.55290000
0.28725774 -47.55490000
0.32316495 -47.55690000
0.35907216 -47.55890000
0.39497939 -47.56080000
0.43088660 -47.56270000
0.46679381 -47.56460000
0.50270104 -47.56630000
0.53860825 -47.56800000
0.57451546 -47.56950000
0.61042269 -47.57090000
0.64632990 -47.57220000
0.68223711 -47.57320000
0.71814434 -47.57410000
0.75405155 -47.57490000
0.78995876 -47.57540000
0.82586599 -47.57570000
0.86177320 -47.57580000
0.86177320 -47.57580000
0.88651954 -47.57570000
0.91126589 -47.57560000
0.93601223 -47.57540000
0.96075857 -47.57510000
0.98550493 -47.57470000
1.01025127 -47.57420000
1.03499761 -47.57360000
1.05974396 -47.57300000
1.08449030 -47.57220000
1.10923664 -47.57140000
1.13398299 -47.57060000
1.15872933 -47.56960000
1.18347567 -47.56860000
1.20822202 -47.56750000
1.23296836 -47.56640000
1.25771470 -47.56530000
1.28246105 -47.56400000
1.30720739 -47.56280000
1.33195373 -47.56150000
1.35670008 -47.56020000
1.38144642 -47.55880000
1.40619276 -47.55750000
1.43093911 -47.55610000
1.45568545 -47.55470000
1.45568545 -47.55470000
1.49159266 -47.55470000
1.52749989 -47.55450000
1.56340710 -47.55420000
1.59931431 -47.55380000
1.63522154 -47.55330000
1.67112875 -47.55270000
1.70703596 -47.55200000
1.74294319 -47.55120000
1.77885040 -47.55040000
1.81475761 -47.54960000
1.85066484 -47.54870000
1.88657205 -47.54780000
1.92247926 -47.54690000
1.95838649 -47.54600000
1.99429370 -47.54510000
2.03020091 -47.54430000
2.06610814 -47.54360000
2.10201535 -47.54290000
2.13792256 -47.54230000
2.17382979 -47.54180000
2.20973700 -47.54140000
2.24564421 -47.54110000
2.28155144 -47.54090000
2.31745865 -47.54080000
2.31745865 -47.54080000
2.35336586 -47.54080000
2.38927309 -47.54060000
2.42518030 -47.54030000
2.46108751 -47.53990000
2.49699474 -47.53940000
2.53290195 -47.53880000
2.56880916 -47.53820000
2.60471639 -47.53740000
2.64062360 -47.53660000
2.67653081 -47.53580000
2.71243804 -47.53490000
2.74834525 -47.53400000
2.78425246 -47.53310000
2.82015969 -47.53220000
2.85606690 -47.53140000
2.89197411 -47.53060000
2.92788134 -47.52980000
2.96378855 -47.52910000
2.99969576 -47.52850000
3.03560299 -47.52800000
3.07151020 -47.52760000
3.10741741 -47.52740000
3.14332464 -47.52720000
3.17923185 -47.52710000
3.17923185 -47.52710000
3.23001232 -47.52730000
3.28079281 -47.52760000
3.33157327 -47.52820000
3.38235374 -47.52900000
3.43313422 -47.53000000
3.48391469 -47.53120000
3.53469515 -47.53250000
3.58547564 -47.53400000
3.63625611 -47.53560000
3.68703657 -47.53730000
3.73781706 -47.53910000
3.78859753 -47.54090000
3.83937799 -47.54270000
3.89015848 -47.54450000
3.94093895 -47.54620000
3.99171941 -47.54780000
4.04249990 -47.54930000
4.09328037 -47.55070000
4.14406083 -47.55190000
4.19484132 -47.55290000
4.24562179 -47.55370000
4.29640225 -47.55420000
4.34718274 -47.55460000
4.39796320 -47.55470000

0.00000000 -47.54090000
0.03590721 -47.53950000
0.07181444 -47.53830000
0.10772165 -47.53730000
0.14362886 -47.53630000
0.17953609 -47.53550000
0.21544330 -47.53480000
0.25135051 -47.53420000
0.28725774 -47.53380000
0.32316495 -47.53340000
0.35907216 -47.53310000
0.39497939 -47.53290000
0.43088660 -47.53280000
0.46679381 -47.53280000
0.50270104 -47.53280000
0.53860825 -47.53290000
0.57451546 -47.53290000
0.61042269 -47.53300000
0.64632990 -47.53320000
0.68223711 -47.53330000
0.71814434 -47.53340000
0.75405155 -47.53350000
0.78995876 -47.53350000
0.82586599 -47.53360000
0.86177320 -47.53360000
0.86177320 -47.53360000
0.88651954 -47.53360000
0.91126589 -47.53380000
0.93601223 -47.53400000
0.96075857 -47.53430000
0.98550493 -47.53470000
1.01025127 -47.53520000
1.03499761 -47.53580000
1.05974396 -47.53640000
1.08449030 -47.53710000
1.10923664 -47.53790000
1.13398299 -47.53880000
1.15872933 -47.53980000
1.18347567 -47.54080000
1.20822202 -47.54180000
1.23296836 -47.54300000
1.25771470 -47.54420000
1.28246105 -47.54540000
1.30720739 -47.54660000
1.33195373 -47.54790000
1.35670008 -47.54920000
1.38144642 -47.55060000
1.40619276 -47.55200000
1.43093911 -47.55330000
1.45568545 -47.55470000
1.45568545 -47.55470000
1.49159266 -47.55470000
1.52749989 -47.55450000
1.56340710 -47.55420000
1.59931431 -47.55380000
1.63522154 -47.55330000
1.67112875 -47.55270000
1.70703596 -47.55200000
1.74294319 -47.55120000
1.77885040 -47.55040000
1.81475761 -47.54960000
1.85066484 -47.54870000
1.88657205 -47.54780000
1.92247926 -47.54690000
1.95838649 -47.54600000
1.99429370 -47.54510000
2.03020091 -47.54430000
2.06610814 -47.54350000
2.10201535 -47.54290000
2.13792256 -47.54230000
2.17382979 -47.54180000
2.20973700 -47.54140000
2.24564421 -47.54110000
2.28155144 -47.54090000
2.31745865 -47.54080000
2.31745865 -47.54080000
2.35336586 -47.54080000
2.38927309 -47.54060000
2.42518030 -47.54030000
2.46108751 -47.53990000
2.49699474 -47.53940000
