#k-distance eigenvalue[eV]
0.00000000 -47.54060000
0.03590721 -47.54200000
0.07181444 -47.54360000
0.10772165 -47.54520000
0.14362886 -47.54700000
0.17953609 -47.54880000
0.21544330 -47.55070000
0.25135051 -47.55260000
0.28725774 -47.55460000
0.32316495 -47.55660000
0.35907216 -47.55860000
0.39497939 -47.56050000
0.43088660 -47.56240000
0.46679381 -47.56430000
0.50270104 -47.56600000
0.53860825 -47.56770000
0.57451546 -47.56920000
0.61042269 -47.57060000
0.64632990 -47.57190000
0.68223711 -47.57300000
0.71814434 -47.57390000
0.75405155 -47.57460000
0.78995876 -47.57510000
0.82586599 -47.57540000
0.86177320 -47.57550000
0.86177320 -47.57550000
0.88651954 -47.57550000
0.91126589 -47.57530000
0.93601223 -47.57510000
0.96075857 -47.57480000
0.98550493 -47.57440000
1.01025127 -47.57390000
1.03499761 -47.57330000
1.05974396 -47.57270000
1.08449030 -47.57200000
1.10923664 -47.57120000
1.13398299 -47.57030000
1.15872933 -47.56930000
1.18347567 -47.56830000
1.20822202 -47.56730000
1.23296836 -47.56610000
1.25771470 -47.56500000
1.28246105 -47.56380000
1.30720739 -47.56250000
1.33195373 -47.56120000
1.35670008 -47.55990000
1.38144642 -47.55850000
1.40619276 -47.55720000
1.43093911 -47.55580000
1.45568545 -47.55440000
1.45568545 -47.55440000
1.49159266 -47.55440000
1.52749989 -47.55420000
1.56340710 -47.55390000
1.59931431 -47.55350000
1.63522154 -47.55300000
1.67112875 -47.55240000
1.70703596 -47.55170000
1.74294319 -47.55100000
1.77885040 -47.55010000
1.81475761 -47.54930000
1.85066484 -47.54840000
1.88657205 -47.54750000
1.92247926 -47.54660000
1.95838649 -47.54570000
1.99429370 -47.54480000
2.03020091 -47.54400000
2.06610814 -47.54330000
2.10201535 -47.54260000
2.13792256 -47.54200000
2.17382979 -47.54150000
2.20973700 -47.54110000
2.24564421 -47.54080000
2.28155144 -47.54060000
2.31745865 -47.54050000
2.31745865 -47.54050000
2.35336586 -47.54050000
2.38927309 -47.54030000
2.42518030 -47.54000000
2.46108751 -47.53960000
2.49699474 -47.53910000
2.53290195 -47.53850000
2.56880916 -47.53790000
2.60471639 -47.53710000
2.64062360 -47.53630000
2.67653081 -47.53550000
2.71243804 -47.53460000
2.74834525 -47.53370000
2.78425246 -47.53280000
2.82015969 -47.53190000
2.85606690 -47.53110000
2.89197411 -47.53030000
2.92788134 -47.52950000
2.96378855 -47.52880000
2.99969576 -47.52820000
3.03560299 -47.52770000
3.07151020 -47.52730000
3.10741741 -47.52710000
3.14332464 -47.52690000
3.17923185 -47.52680000
3.17923185 -47.52680000
3.23001232 -47.52690000
3.28079281 -47.52730000
3.33157327 -47.52790000
3.38235374 -47.52870000
3.43313422 -47.52970000
3.48391469 -47.53080000
3.53469515 -47.53220000
3.58547564 -47.53370000
3.63625611 -47.53530000
3.68703657 -47.53700000
3.73781706 -47.53880000
3.78859753 -47.54060000
3.83937799 -47.54240000
3.89015848 -47.54420000
3.94093895 -47.54590000
3.99171941 -47.54750000
4.04249990 -47.54900000
4.09328037 -47.55040000
4.14406083 -47.55160000
4.19484132 -47.55260000
4.24562179 -47.55340000
4.29640225 -47.55390000
4.34718274 -47.55430000
4.39796320 -47.55440000

0.00000000 -47.54060000
0.03590721 -47.53920000
0.07181444 -47.53800000
0.10772165 -47.53700000
0.14362886 -47.53600000
0.17953609 -47.53520000
0.21544330 -47.53450000
0.25135051 -47.53390000
0.28725774 -47.53340000
0.32316495 -47.53310000
0.35907216 -47.53280000
0.39497939 -47.53260000
0.43088660 -47.53250000
0.46679381 -47.53250000
0.50270104 -47.53250000
0.53860825 -47.53250000
0.57451546 -47.53260000
0.61042269 -47.53270000
0.64632990 -47.53280000
0.68223711 -47.53300000
0.71814434 -47.53310000
0.75405155 -47.53310000
0.78995876 -47.53320000
0.82586599 -47.53330000
0.86177320 -47.53330000
0.86177320 -47.53330000
0.88651954 -47.53330000
0.91126589 -47.53340000
0.93601223 -47.53370000
0.96075857 -47.53400000
0.98550493 -47.53440000
1.01025127 -47.53490000
1.03499761 -47.53540000
1.05974396 -47.53610000
1.08449030 -47.53680000
1.10923664 -47.53760000
1.13398299 -47.53850000
1.15872933 -47.53950000
1.18347567 -47.54050000
1.20822202 -47.54150000
1.23296836 -47.54270000
1.25771470 -47.54390000
1.28246105 -47.54510000
1.30720739 -47.54630000
1.33195373 -47.54760000
1.35670008 -47.54890000
1.38144642 -47.55030000
1.40619276 -47.55170000
1.43093911 -47.55300000
1.45568545 -47.55440000
1.45568545 -47.55440000
1.49159266 -47.55440000
1.52749989 -47.55420000
1.56340710 -47.55390000
1.59931431 -47.55350000
1.63522154 -47.55300000
1.67112875 -47.55240000
1.70703596 -47.55170000
1.74294319 -47.55100000
1.77885040 -47.55010000
1.81475761 -47.54930000
1.85066484 -47.54840000
1.88657205 -47.54750000
1.92247926 -47.54660000
1.95838649 -47.54570000
1.99429370 -47.54480000
2.03020091 -47.54400000
2.06610814 -47.54330000
2.10201535 -47.54260000
2.13792256 -47.54200000
2.17382979 -47.54150000
2.20973700 -47.54110000
2.24564421 -47.54080000
2.28155144 -47.54060000
2.31745865 -47.54050000
2.31745865 -47.54050000
2.35336586 -47.54050000
2.38927309 -47.54030000
2.42518030 -47.54000000
2.46108751 -47.53960000
2.49699474 -47.53910000
2.53290195 -47.53850000
2.56880916 -47.53790000
2.60471639 -47.53710000
2.64062360 -47.53630000
2.67653081 -47.53550000
2.71243804 -47.53460000
2.74834525 -47.53370000
2.78425246 -47.53280000
2.82015969 -47.53190000
2.85606690 -47.53110000
2.89197411 -47.53020000
2.92788134 -47.52950000
2.96378855 -47.52880000
2.99969576 -47.52820000
3.03560299 -47.52770000
3.07151020 -47.52730000
3.10741741 -47.52700000
3.14332464 -47.52690000
3.17923185 -47.52680000
3.17923185 -47.52680000
3.23001232 -47.52690000
3.28079281 -47.52730000
3.33157327 -47.52790000
3.38235374 -47.52870000
3.43313422 -47.52970000
3.48391469 -47.53080000
3.53469515 -47.53220000
3.58547564 -47.53370000
3.63625611 -47.53530000
3.68703657 -47.53700000
3.73781706 -47.53880000
3.78859753 -47.54060000
3.83937799 -47.54240000
3.89015848 -47.54420000
3.94093895 -47.54590000
3.99171941 -47.54750000
4.04249990 -47.54900000
4.09328037 -47.55040000
4.14406083 -47.55160000
4.19484132 -47.55260000
4.24562179 -47.55340000
4.29640225 -47.55390000
4.34718274 -47.55430000
4.39796320 -47.55440000

0.00000000 -25.97640000
0.03590721 -25.97730000
0.07181444 -25.97560000
0.10772165 -25.97100000
0.14362886 -25.96380000
0.17953609 -25.95390000
0.21544330 -25.94160000
0.25135051 -25.93760000
0.28725774 -25.94580000
0.32316495 -25.95820000
0.35907216 -25.97240000
0.39497939 -25.98740000
0.43088660 -26.00240000
0.46679381 -26.01700000
0.50270104 -26.03100000
0.53860825 -26.04410000
0.57451546 -26.05620000
0.61042269 -26.06710000
0.64632990 -26.07680000
0.68223711 -26.08510000
0.71814434 -26.09210000
0.75405155 -26.09750000
0.78995876 -26.10140000
0.82586599 -26.10380000
0.86177320 -26.10460000
0.86177320 -26.10460000
0.88651954 -26.10410000
0.91126589 -26.10250000
0.93601223 -26.10000000
0.96075857 -26.09650000
0.98550493 -26.09190000
1.01025127 -26.08640000
1.03499761 -26.08000000
1.05974396 -26.07250000
1.08449030 -26.06420000
1.10923664 -26.05500000
1.13398299 -26.04490000
1.15872933 -26.03400000
1.18347567 -26.02230000
1.20822202 -26.00980000
1.23296836 -25.99660000
1.25771470 -25.98270000
1.28246105 -25.96830000
1.30720739 -25.95320000
1.33195373 -25.93760000
1.35670008 -25.92160000
1.38144642 -25.90520000
1.40619276 -25.88840000
1.43093911 -25.87140000
1.45568545 -25.85410000
1.45568545 -25.85410000
1.49159266 -25.85520000
1.52749989 -25.85820000
1.56340710 -25.86330000
1.59931431 -25.87050000
1.63522154 -25.87950000
1.67112875 -25.89050000
1.70703596 -25.90310000
1.74294319 -25.91730000
1.77885040 -25.93280000
1.81475761 -25.94920000
1.85066484 -25.96630000
1.88657205 -25.98360000
1.92247926 -26.00080000
1.95838649 -26.01760000
1.99429370 -26.03360000
2.03020091 -26.04840000
2.06610814 -26.06170000
2.10201535 -26.07330000
2.13792256 -26.08280000
2.17382979 -26.09010000
2.20973700 -26.09500000
2.24564421 -26.09730000
2.28155144 -26.09700000
2.31745865 -26.09400000
2.31745865 -26.09400000
2.35336586 -26.09350000
2.38927309 -26.09200000
2.42518030 -26.08950000
2.46108751 -26.08600000
2.49699474 -26.08160000
2.53290195 -26.07640000
2.56880916 -26.07030000
2.60471639 -26.06350000
2.64062360 -26.05600000
2.67653081 -26.04800000
2.71243804 -26.03950000
2.74834525 -26.03060000
2.78425246 -26.02150000
2.82015969 -26.01240000
2.85606690 -26.00330000
2.89197411 -25.99440000
2.92788134 -25.98590000
2.96378855 -25.97800000
2.99969576 -25.97080000
3.03560299 -25.96460000
3.07151020 -25.95960000
3.10741741 -25.95590000
3.14332464 -25.95360000
3.17923185 -25.95280000
3.17923185 -25.95280000
3.23001232 -25.95290000
3.28079281 -25.95320000
3.33157327 -25.95350000
3.38235374 -25.95370000
3.43313422 -25.95350000
3.48391469 -25.95290000
3.53469515 -25.95160000
3.58547564 -25.94940000
3.63625611 -25.94640000
3.68703657 -25.94230000
3.73781706 -25.93720000
3.78859753 -25.93120000
3.83937799 -25.92430000
3.89015848 -25.91660000
3.94093895 -25.90840000
3.99171941 -25.89990000
4.04249990 -25.89130000
4.09328037 -25.88290000
4.14406083 -25.87510000
4.19484132 -25.86810000
4.24562179 -25.86220000
4.29640225 -25.85780000
4.34718274 -25.85510000
4.39796320 -25.85410000

0.00000000 -25.97630000
0.03590721 -25.97270000
0.07181444 -25.96660000
0.10772165 -25.95860000
0.14362886 -25.94950000
0.17953609 -25.94100000
0.21544330 -25.93600000
0.25135051 -25.92710000
0.28725774 -25.91050000
0.32316495 -25.89230000
0.35907216 -25.87260000
0.39497939 -25.85180000
0.43088660 -25.83030000
0.46679381 -25.80830000
0.50270104 -25.78640000
0.53860825 -25.76490000
0.57451546 -25.74410000
0.61042269 -25.72450000
0.64632990 -25.70630000
0.68223711 -25.69000000
0.71814434 -25.67590000
0.75405155 -25.66430000
0.78995876 -25.65570000
0.82586599 -25.65030000
0.86177320 -25.64840000
0.86177320 -25.64840000
0.88651954 -25.64830000
0.91126589 -25.64790000
0.93601223 -25.64730000
0.96075857 -25.64640000
0.98550493 -25.64520000
1.01025127 -25.64380000
1.03499761 -25.64220000
1.05974396 -25.64030000
1.08449030 -25.63820000
1.10923664 -25.63590000
1.13398299 -25.64580000
1.15872933 -25.65880000
1.18347567 -25.67250000
1.20822202 -25.68700000
1.23296836 -25.70210000
1.25771470 -25.71780000
1.28246105 -25.73400000
1.30720739 -25.75050000
1.33195373 -25.76750000
1.35670008 -25.78460000
1.38144642 -25.80190000
1.40619276 -25.81930000
1.43093911 -25.83680000
1.45568545 -25.85410000
1.45568545 -25.85410000
1.49159266 -25.85410000
1.52749989 -25.85380000
1.56340710 -25.85360000
1.59931431 -25.85350000
1.63522154 -25.85380000
1.67112875 -25.85490000
1.70703596 -25.85720000
1.74294319 -25.86150000
1.77885040 -25.86820000
1.81475761 -25.87800000
1.85066484 -25.89080000
1.88657205 -25.90660000
1.92247926 -25.92460000
1.95838649 -25.94410000
1.99429370 -25.96450000
2.03020091 -25.98490000
2.06610814 -26.00470000
2.10201535 -26.02340000
2.13792256 -26.04060000
2.17382979 -26.05590000
2.20973700 -26.06910000
2.24564421 -26.08000000
2.28155144 -26.08830000
2.31745865 -26.09400000
2.31745865 -26.09400000
2.35336586 -26.09350000
2.38927309 -26.09200000
2.42518030 -26.08950000
2.46108751 -26.08600000
2.49699474 -26.08160000
2.53290195 -26.07640000
2.56880916 -26.07030000
2.60471639 -26.06350000
2.64062360 -26.05600000
2.67653081 -26.04800000
2.71243804 -26.03950000
2.74834525 -26.03060000
2.78425246 -26.02150000
2.82015969 -26.01240000
2.85606690 -26.00330000
2.89197411 -25.99440000
2.92788134 -25.98590000
2.96378855 -25.97800000
2.99969576 -25.97080000
3.03560299 -25.96460000
3.07151020 -25.95960000
3.10741741 -25.95590000
3.14332464 -25.95360000
3.17923185 -25.95280000
3.17923185 -25.95280000
3.23001232 -25.95290000
3.28079281 -25.95320000
3.33157327 -25.95350000
3.38235374 -25.95370000
3.43313422 -25.95350000
3.48391469 -25.95290000
3.53469515 -25.95160000
3.58547564 -25.94940000
3.63625611 -25.94640000
3.68703657 -25.94230000
3.73781706 -25.93720000
3.78859753 -25.93120000
3.83937799 -25.92430000
3.89015848 -25.91660000
3.94093895 -25.90840000
3.99171941 -25.89990000
4.04249990 -25.89130000
4.09328037 -25.88290000
4.14406083 -25.87510000
4.19484132 -25.86810000
4.24562179 -25.86220000
4.29640225 -25.85780000
4.34718274 -25.85510000
4.39796320 -25.85410000

0.00000000 -25.76230000
0.03590721 -25.77910000
0.07181444 -25.79580000
0.10772165 -25.81180000
0.14362886 -25.82630000
0.17953609 -25.83770000
0.21544330 -25.84310000
0.25135051 -25.83950000
0.28725774 -25.82710000
0.32316495 -25.80860000
0.35907216 -25.78640000
0.39497939 -25.76190000
0.43088660 -25.73610000
0.46679381 -25.70970000
0.50270104 -25.68340000
0.53860825 -25.65770000
0.57451546 -25.63650000
0.61042269 -25.63920000
0.64632990 -25.64160000
0.68223711 -25.64360000
0.71814434 -25.64540000
0.75405155 -25.64670000
0.78995876 -25.64770000
0.82586599 -25.64820000
0.86177320 -25.64840000
0.86177320 -25.64840000
0.88651954 -25.64830000
0.91126589 -25.64790000
0.93601223 -25.64730000
0.96075857 -25.64640000
0.98550493 -25.64520000
1.01025127 -25.64380000
1.03499761 -25.64220000
1.05974396 -25.64030000
1.08449030 -25.63820000
1.10923664 -25.63590000
1.13398299 -25.63340000
1.15872933 -25.63070000
1.18347567 -25.62780000
1.20822202 -25.62470000
1.23296836 -25.62150000
1.25771470 -25.61810000
1.28246105 -25.61460000
1.30720739 -25.61100000
1.33195373 -25.60730000
1.35670008 -25.60360000
1.38144642 -25.59980000
1.40619276 -25.59600000
1.43093911 -25.59260000
1.45568545 -25.59070000
1.45568545 -25.59070000
1.49159266 -25.59220000
1.52749989 -25.59640000
1.56340710 -25.60330000
1.59931431 -25.61240000
1.63522154 -25.62340000
1.67112875 -25.63570000
1.70703596 -25.64830000
1.74294319 -25.66050000
1.77885040 -25.67130000
1.81475761 -25.67990000
1.85066484 -25.68580000
1.88657205 -25.68880000
1.92247926 -25.68930000
1.95838649 -25.68760000
1.99429370 -25.68440000
2.03020091 -25.67990000
2.06610814 -25.67460000
2.10201535 -25.66870000
2.13792256 -25.66260000
2.17382979 -25.65630000
2.20973700 -25.65020000
2.24564421 -25.64420000
2.28155144 -25.63840000
2.31745865 -25.63310000
2.31745865 -25.63310000
2.35336586 -25.63360000
2.38927309 -25.63520000
2.42518030 -25.63820000
2.46108751 -25.64290000
2.49699474 -25.65010000
2.53290195 -25.66060000
2.56880916 -25.67450000
2.60471639 -25.69160000
2.64062360 -25.71130000
2.67653081 -25.73270000
2.71243804 -25.75520000
2.74834525 -25.77820000
2.78425246 -25.80130000
2.82015969 -25.82400000
2.85606690 -25.84580000
2.89197411 -25.86630000
2.92788134 -25.88530000
2.96378855 -25.90240000
2.99969576 -25.91730000
3.03560299 -25.92980000
3.07151020 -25.93980000
3.10741741 -25.94700000
3.14332464 -25.95130000
3.17923185 -25.95280000
3.17923185 -25.95280000
3.23001232 -25.95130000
3.28079281 -25.94690000
3.33157327 -25.93960000
3.38235374 -25.92960000
3.43313422 -25.91700000
3.48391469 -25.90190000
3.53469515 -25.88470000
3.58547564 -25.86550000
3.63625611 -25.84470000
3.68703657 -25.82270000
3.73781706 -25.79960000
3.78859753 -25.77600000
3.83937799 -25.75230000
3.89015848 -25.72880000
3.94093895 -25.70600000
3.99171941 -25.68420000
4.04249990 -25.66390000
4.09328037 -25.64540000
4.14406083 -25.62910000
4.19484132 -25.61540000
4.24562179 -25.60450000
4.29640225 -25.59670000
4.34718274 -25.59210000
4.39796320 -25.59070000

0.00000000 -25.76230000
0.03590721 -25.74570000
0.07181444 -25.72950000
0.10772165 -25.71370000
0.14362886 -25.69860000
0.17953609 -25.68420000
0.21544330 -25.67060000
0.25135051 -25.65790000
0.28725774 -25.64590000
0.32316495 -25.63490000
0.35907216 -25.62480000
0.39497939 -25.61910000
0.43088660 -25.62300000
0.46679381 -25.62670000
0.50270104 -25.63020000
0.53860825 -25.63350000
0.57451546 -25.63310000
0.61042269 -25.61010000
0.64632990 -25.58910000
0.68223711 -25.57480000
